CUDA verified: NVIDIA L40S; tensor dot product=8.0
GPU startup: NVIDIA L40S, 533, 46068, 0
Loaded train=6026, valid=754; reserved test set is not loaded
epoch=1 loss=0.994792 validation_micro_fmax=0.106884 valid_micro_fmax=0.106884
epoch=2 loss=0.824518 validation_micro_fmax=0.122418 valid_micro_fmax=0.122418
epoch=3 loss=0.768452 validation_micro_fmax=0.145219 valid_micro_fmax=0.145219
epoch=4 loss=0.735411 validation_micro_fmax=0.151257 valid_micro_fmax=0.151257
epoch=5 loss=0.707203 validation_micro_fmax=0.155752 valid_micro_fmax=0.155752
epoch=6 loss=0.679987 validation_micro_fmax=0.164506 valid_micro_fmax=0.164506
epoch=7 loss=0.649133 validation_micro_fmax=0.173852 valid_micro_fmax=0.173852
epoch=8 loss=0.612353 validation_micro_fmax=0.180474 valid_micro_fmax=0.180474
epoch=9 loss=0.571414 validation_micro_fmax=0.186816 valid_micro_fmax=0.186816
epoch=10 loss=0.527370 validation_micro_fmax=0.194706 valid_micro_fmax=0.194706
epoch=11 loss=0.479174 validation_micro_fmax=0.208668 valid_micro_fmax=0.208668
epoch=12 loss=0.429211 validation_micro_fmax=0.240077 valid_micro_fmax=0.240077
epoch=13 loss=0.378018 validation_micro_fmax=0.234860 valid_micro_fmax=0.234860
epoch=14 loss=0.327473 validation_micro_fmax=0.257915 valid_micro_fmax=0.257915
epoch=15 loss=0.279362 validation_micro_fmax=0.256545 valid_micro_fmax=0.256545
epoch=16 loss=0.235751 validation_micro_fmax=0.286838 valid_micro_fmax=0.286838
epoch=17 loss=0.195934 validation_micro_fmax=0.298427 valid_micro_fmax=0.298427
epoch=18 loss=0.162631 validation_micro_fmax=0.337704 valid_micro_fmax=0.337704
epoch=19 loss=0.135920 validation_micro_fmax=0.341110 valid_micro_fmax=0.341110
epoch=20 loss=0.111394 validation_micro_fmax=0.369065 valid_micro_fmax=0.369065
epoch=21 loss=0.093035 validation_micro_fmax=0.351700 valid_micro_fmax=0.351700
epoch=22 loss=0.077726 validation_micro_fmax=0.360861 valid_micro_fmax=0.360861
epoch=23 loss=0.065547 validation_micro_fmax=0.377294 valid_micro_fmax=0.377294
epoch=24 loss=0.055202 validation_micro_fmax=0.375979 valid_micro_fmax=0.375979
epoch=25 loss=0.047004 validation_micro_fmax=0.392283 valid_micro_fmax=0.392283
epoch=26 loss=0.040066 validation_micro_fmax=0.392974 valid_micro_fmax=0.392974
epoch=27 loss=0.034758 validation_micro_fmax=0.387892 valid_micro_fmax=0.387892
epoch=28 loss=0.030133 validation_micro_fmax=0.391163 valid_micro_fmax=0.391163
epoch=29 loss=0.026671 validation_micro_fmax=0.391343 valid_micro_fmax=0.391343
epoch=30 loss=0.022763 validation_micro_fmax=0.384012 valid_micro_fmax=0.384012
epoch=31 loss=0.020271 validation_micro_fmax=0.409495 valid_micro_fmax=0.409495
epoch=32 loss=0.017643 validation_micro_fmax=0.401857 valid_micro_fmax=0.401857
epoch=33 loss=0.016271 validation_micro_fmax=0.397022 valid_micro_fmax=0.397022
epoch=34 loss=0.013975 validation_micro_fmax=0.399197 valid_micro_fmax=0.399197
epoch=35 loss=0.013253 validation_micro_fmax=0.408145 valid_micro_fmax=0.408145
epoch=36 loss=0.012761 validation_micro_fmax=0.415483 valid_micro_fmax=0.415483
epoch=37 loss=0.010182 validation_micro_fmax=0.412618 valid_micro_fmax=0.412618
epoch=38 loss=0.010743 validation_micro_fmax=0.395257 valid_micro_fmax=0.395257
epoch=39 loss=0.009483 validation_micro_fmax=0.405514 valid_micro_fmax=0.405514
epoch=40 loss=0.007728 validation_micro_fmax=0.405873 valid_micro_fmax=0.405873
epoch=41 loss=0.007481 validation_micro_fmax=0.412097 valid_micro_fmax=0.412097
epoch=42 loss=0.006309 validation_micro_fmax=0.412523 valid_micro_fmax=0.412523
epoch=43 loss=0.006096 validation_micro_fmax=0.413619 valid_micro_fmax=0.413619
epoch=44 loss=0.005398 validation_micro_fmax=0.420236 valid_micro_fmax=0.420236
epoch=45 loss=0.004801 validation_micro_fmax=0.418371 valid_micro_fmax=0.418371
epoch=46 loss=0.005366 validation_micro_fmax=0.416470 valid_micro_fmax=0.416470
epoch=47 loss=0.004701 validation_micro_fmax=0.421543 valid_micro_fmax=0.421543
epoch=48 loss=0.004624 validation_micro_fmax=0.417727 valid_micro_fmax=0.417727
epoch=49 loss=0.003906 validation_micro_fmax=0.419207 valid_micro_fmax=0.419207
epoch=50 loss=0.003722 validation_micro_fmax=0.420499 valid_micro_fmax=0.420499
epoch=51 loss=0.003568 validation_micro_fmax=0.419631 valid_micro_fmax=0.419631
epoch=52 loss=0.003229 validation_micro_fmax=0.403589 valid_micro_fmax=0.403589
epoch=53 loss=0.003137 validation_micro_fmax=0.420737 valid_micro_fmax=0.420737
epoch=54 loss=0.002779 validation_micro_fmax=0.422790 valid_micro_fmax=0.422790
epoch=55 loss=0.003405 validation_micro_fmax=0.417254 valid_micro_fmax=0.417254
epoch=56 loss=0.002337 validation_micro_fmax=0.429994 valid_micro_fmax=0.429994
epoch=57 loss=0.002362 validation_micro_fmax=0.416331 valid_micro_fmax=0.416331
epoch=58 loss=0.002610 validation_micro_fmax=0.414459 valid_micro_fmax=0.414459
epoch=59 loss=0.002424 validation_micro_fmax=0.413440 valid_micro_fmax=0.413440
epoch=60 loss=0.001925 validation_micro_fmax=0.439294 valid_micro_fmax=0.439294
epoch=61 loss=0.001776 validation_micro_fmax=0.422523 valid_micro_fmax=0.422523
epoch=62 loss=0.001944 validation_micro_fmax=0.431577 valid_micro_fmax=0.431577
epoch=63 loss=0.004291 validation_micro_fmax=0.420193 valid_micro_fmax=0.420193
epoch=64 loss=0.003912 validation_micro_fmax=0.420460 valid_micro_fmax=0.420460
epoch=65 loss=0.001507 validation_micro_fmax=0.435508 valid_micro_fmax=0.435508
epoch=66 loss=0.001512 validation_micro_fmax=0.424552 valid_micro_fmax=0.424552
epoch=67 loss=0.001556 validation_micro_fmax=0.422049 valid_micro_fmax=0.422049
epoch=68 loss=0.001257 validation_micro_fmax=0.419944 valid_micro_fmax=0.419944
epoch=69 loss=0.001245 validation_micro_fmax=0.407688 valid_micro_fmax=0.407688
Early stopping after 69 epochs (patience=9)
GPU completion: NVIDIA L40S, 31957, 46068, 0
