CUDA verified: NVIDIA L40S; tensor dot product=8.0
GPU startup: NVIDIA L40S, 533, 46068, 0
Loaded train=6026, valid=754; reserved test set is not loaded
epoch=1 loss=1.163119 validation_micro_fmax=0.014307 valid_micro_fmax=0.014307
epoch=2 loss=1.021972 validation_micro_fmax=0.022305 valid_micro_fmax=0.022305
epoch=3 loss=0.944408 validation_micro_fmax=0.036569 valid_micro_fmax=0.036569
epoch=4 loss=0.890369 validation_micro_fmax=0.051318 valid_micro_fmax=0.051318
epoch=5 loss=0.851957 validation_micro_fmax=0.074193 valid_micro_fmax=0.074193
epoch=6 loss=0.822945 validation_micro_fmax=0.094356 valid_micro_fmax=0.094356
epoch=7 loss=0.801665 validation_micro_fmax=0.110463 valid_micro_fmax=0.110463
epoch=8 loss=0.785204 validation_micro_fmax=0.123198 valid_micro_fmax=0.123198
epoch=9 loss=0.769697 validation_micro_fmax=0.146677 valid_micro_fmax=0.146677
epoch=10 loss=0.758498 validation_micro_fmax=0.145024 valid_micro_fmax=0.145024
epoch=11 loss=0.747816 validation_micro_fmax=0.157752 valid_micro_fmax=0.157752
epoch=12 loss=0.737982 validation_micro_fmax=0.165084 valid_micro_fmax=0.165084
epoch=13 loss=0.728967 validation_micro_fmax=0.164435 valid_micro_fmax=0.164435
epoch=14 loss=0.721129 validation_micro_fmax=0.161528 valid_micro_fmax=0.161528
epoch=15 loss=0.710973 validation_micro_fmax=0.170543 valid_micro_fmax=0.170543
epoch=16 loss=0.701885 validation_micro_fmax=0.177482 valid_micro_fmax=0.177482
epoch=17 loss=0.692254 validation_micro_fmax=0.187658 valid_micro_fmax=0.187658
epoch=18 loss=0.682627 validation_micro_fmax=0.188724 valid_micro_fmax=0.188724
epoch=19 loss=0.672188 validation_micro_fmax=0.200562 valid_micro_fmax=0.200562
epoch=20 loss=0.662513 validation_micro_fmax=0.211611 valid_micro_fmax=0.211611
epoch=21 loss=0.650188 validation_micro_fmax=0.204453 valid_micro_fmax=0.204453
epoch=22 loss=0.638679 validation_micro_fmax=0.209577 valid_micro_fmax=0.209577
epoch=23 loss=0.626310 validation_micro_fmax=0.213307 valid_micro_fmax=0.213307
epoch=24 loss=0.613427 validation_micro_fmax=0.220732 valid_micro_fmax=0.220732
epoch=25 loss=0.599729 validation_micro_fmax=0.211717 valid_micro_fmax=0.211717
epoch=26 loss=0.586074 validation_micro_fmax=0.225813 valid_micro_fmax=0.225813
epoch=27 loss=0.571892 validation_micro_fmax=0.236207 valid_micro_fmax=0.236207
epoch=28 loss=0.557073 validation_micro_fmax=0.226359 valid_micro_fmax=0.226359
epoch=29 loss=0.542138 validation_micro_fmax=0.246159 valid_micro_fmax=0.246159
epoch=30 loss=0.526321 validation_micro_fmax=0.237372 valid_micro_fmax=0.237372
epoch=31 loss=0.511475 validation_micro_fmax=0.249598 valid_micro_fmax=0.249598
epoch=32 loss=0.494682 validation_micro_fmax=0.245010 valid_micro_fmax=0.245010
epoch=33 loss=0.477379 validation_micro_fmax=0.264376 valid_micro_fmax=0.264376
epoch=34 loss=0.461149 validation_micro_fmax=0.262153 valid_micro_fmax=0.262153
epoch=35 loss=0.444098 validation_micro_fmax=0.256120 valid_micro_fmax=0.256120
epoch=36 loss=0.427423 validation_micro_fmax=0.268716 valid_micro_fmax=0.268716
epoch=37 loss=0.410423 validation_micro_fmax=0.268602 valid_micro_fmax=0.268602
epoch=38 loss=0.393401 validation_micro_fmax=0.274126 valid_micro_fmax=0.274126
epoch=39 loss=0.376392 validation_micro_fmax=0.291233 valid_micro_fmax=0.291233
epoch=40 loss=0.360852 validation_micro_fmax=0.270420 valid_micro_fmax=0.270420
epoch=41 loss=0.344041 validation_micro_fmax=0.283747 valid_micro_fmax=0.283747
epoch=42 loss=0.327852 validation_micro_fmax=0.292969 valid_micro_fmax=0.292969
epoch=43 loss=0.312050 validation_micro_fmax=0.285960 valid_micro_fmax=0.285960
epoch=44 loss=0.296611 validation_micro_fmax=0.282056 valid_micro_fmax=0.282056
epoch=45 loss=0.282317 validation_micro_fmax=0.295653 valid_micro_fmax=0.295653
epoch=46 loss=0.268125 validation_micro_fmax=0.303440 valid_micro_fmax=0.303440
epoch=47 loss=0.254499 validation_micro_fmax=0.305335 valid_micro_fmax=0.305335
epoch=48 loss=0.241671 validation_micro_fmax=0.297832 valid_micro_fmax=0.297832
epoch=49 loss=0.229135 validation_micro_fmax=0.298939 valid_micro_fmax=0.298939
epoch=50 loss=0.216011 validation_micro_fmax=0.292744 valid_micro_fmax=0.292744
epoch=51 loss=0.204199 validation_micro_fmax=0.298498 valid_micro_fmax=0.298498
epoch=52 loss=0.193630 validation_micro_fmax=0.306682 valid_micro_fmax=0.306682
epoch=53 loss=0.183704 validation_micro_fmax=0.307083 valid_micro_fmax=0.307083
epoch=54 loss=0.173565 validation_micro_fmax=0.301138 valid_micro_fmax=0.301138
epoch=55 loss=0.163204 validation_micro_fmax=0.304607 valid_micro_fmax=0.304607
epoch=56 loss=0.155366 validation_micro_fmax=0.311552 valid_micro_fmax=0.311552
epoch=57 loss=0.147209 validation_micro_fmax=0.314951 valid_micro_fmax=0.314951
epoch=58 loss=0.139486 validation_micro_fmax=0.311591 valid_micro_fmax=0.311591
epoch=59 loss=0.131025 validation_micro_fmax=0.317841 valid_micro_fmax=0.317841
epoch=60 loss=0.123629 validation_micro_fmax=0.308223 valid_micro_fmax=0.308223
epoch=61 loss=0.117995 validation_micro_fmax=0.300567 valid_micro_fmax=0.300567
epoch=62 loss=0.111651 validation_micro_fmax=0.314987 valid_micro_fmax=0.314987
epoch=63 loss=0.104762 validation_micro_fmax=0.318854 valid_micro_fmax=0.318854
epoch=64 loss=0.098697 validation_micro_fmax=0.320117 valid_micro_fmax=0.320117
epoch=65 loss=0.094939 validation_micro_fmax=0.312684 valid_micro_fmax=0.312684
epoch=66 loss=0.091334 validation_micro_fmax=0.319189 valid_micro_fmax=0.319189
epoch=67 loss=0.086762 validation_micro_fmax=0.327181 valid_micro_fmax=0.327181
epoch=68 loss=0.080055 validation_micro_fmax=0.318576 valid_micro_fmax=0.318576
epoch=69 loss=0.076143 validation_micro_fmax=0.318457 valid_micro_fmax=0.318457
epoch=70 loss=0.071791 validation_micro_fmax=0.323710 valid_micro_fmax=0.323710
epoch=71 loss=0.068344 validation_micro_fmax=0.321646 valid_micro_fmax=0.321646
epoch=72 loss=0.066910 validation_micro_fmax=0.315659 valid_micro_fmax=0.315659
epoch=73 loss=0.062279 validation_micro_fmax=0.302422 valid_micro_fmax=0.302422
epoch=74 loss=0.058658 validation_micro_fmax=0.322796 valid_micro_fmax=0.322796
epoch=75 loss=0.057575 validation_micro_fmax=0.328334 valid_micro_fmax=0.328334
epoch=76 loss=0.052845 validation_micro_fmax=0.323881 valid_micro_fmax=0.323881
epoch=77 loss=0.050620 validation_micro_fmax=0.322217 valid_micro_fmax=0.322217
epoch=78 loss=0.049874 validation_micro_fmax=0.320717 valid_micro_fmax=0.320717
epoch=79 loss=0.046752 validation_micro_fmax=0.326027 valid_micro_fmax=0.326027
epoch=80 loss=0.043507 validation_micro_fmax=0.314282 valid_micro_fmax=0.314282
epoch=81 loss=0.045381 validation_micro_fmax=0.322192 valid_micro_fmax=0.322192
epoch=82 loss=0.039246 validation_micro_fmax=0.319753 valid_micro_fmax=0.319753
epoch=83 loss=0.037670 validation_micro_fmax=0.335341 valid_micro_fmax=0.335341
epoch=84 loss=0.036637 validation_micro_fmax=0.333697 valid_micro_fmax=0.333697
epoch=85 loss=0.034810 validation_micro_fmax=0.322670 valid_micro_fmax=0.322670
epoch=86 loss=0.036147 validation_micro_fmax=0.341386 valid_micro_fmax=0.341386
epoch=87 loss=0.030613 validation_micro_fmax=0.323785 valid_micro_fmax=0.323785
epoch=88 loss=0.030829 validation_micro_fmax=0.326896 valid_micro_fmax=0.326896
epoch=89 loss=0.028653 validation_micro_fmax=0.334697 valid_micro_fmax=0.334697
epoch=90 loss=0.026501 validation_micro_fmax=0.336227 valid_micro_fmax=0.336227
epoch=91 loss=0.026373 validation_micro_fmax=0.330103 valid_micro_fmax=0.330103
epoch=92 loss=0.025080 validation_micro_fmax=0.327063 valid_micro_fmax=0.327063
epoch=93 loss=0.023606 validation_micro_fmax=0.327394 valid_micro_fmax=0.327394
epoch=94 loss=0.022320 validation_micro_fmax=0.330339 valid_micro_fmax=0.330339
epoch=95 loss=0.022231 validation_micro_fmax=0.329497 valid_micro_fmax=0.329497
Early stopping after 95 epochs (patience=9)
GPU completion: NVIDIA L40S, 42003, 46068, 0
