Epoch,Train_Loss,Valid_Micro_Fmax,Valid_Macro_Fmax,Valid_Smin,Valid_Macro_AUROC
1,0.011104575538587185,0.24088425862382426,0.18960052314560707,11.628448319795776,0.5614451705726479
2,0.0030385355485912885,0.4026136253946316,0.3115488992921431,10.269137832555655,0.7821625463988987
3,0.0012489285094145844,0.48350575829485265,0.4558288275893437,9.311409129434777,0.8744640409032608
4,0.0008438891682383274,0.5536869339733401,0.5247110739396188,8.132693579819332,0.8916401188992733
5,0.0006142067365136307,0.6052150045251858,0.5628708663735115,7.080799371784609,0.8922489874264785
6,0.0005214638550472319,0.6080586080087185,0.5814123389660262,7.114416658854756,0.8992868085954105
7,0.0003810829715008868,0.6383319967429435,0.6009593771636061,6.570967066904922,0.9127329688275304
8,0.0003397355123375954,0.612845673456148,0.5986341444873536,6.998786987611351,0.9100398446174585
9,0.0002772867417878127,0.6364470965767827,0.600002228859755,6.588366322895108,0.908891607741261
10,0.00021981666966704836,0.6070196793981739,0.5745762524142088,7.060174814230497,0.8905847306448673
11,0.0002102730992715517,0.6372360844034476,0.5970246274030682,6.464681129905866,0.8843782541027415
12,0.00017784279705250288,0.6839053802847564,0.6326274024374616,5.852754304729875,0.8984110734240844
13,0.00015741167231640552,0.6695317800907306,0.604409332520529,5.966403115426414,0.8924634154015555
14,0.00014002921878083328,0.6512373968342364,0.6037542894733597,6.332846023761566,0.8921049107260806
15,0.00016155654986649832,0.6627716755760648,0.640131286048527,6.151655242674222,0.9184640557396058
16,0.00012163591943742626,0.6645775041473622,0.6255240857788446,6.100177697643983,0.9069549160286573
17,0.00011641629257599191,0.6631758679073084,0.6134672988326,6.125270427196105,0.8918734026189038
18,0.00010695102958855907,0.6740749497087621,0.6198329701080689,6.021837630086801,0.9141226742226728
19,0.0001078219692572381,0.6675855731186057,0.6475506193851865,6.04241556886931,0.90474249589761
20,0.0001889910393042973,0.6328054298147465,0.5783071649757018,6.596059310539279,0.8966608020498473
21,0.000138942238517038,0.6477642048142319,0.5861601428810342,6.411153807180858,0.8802511529214687
22,0.00011236951859945503,0.6325123152211396,0.5967124913133057,6.563462293031964,0.9083377971721186
23,9.55455276518803e-05,0.6771342172106762,0.6259543636156082,5.916501891714131,0.8995388311165456
24,9.35824030784264e-05,0.6576480360256959,0.6081007625180717,6.3286692148498345,0.8882503689679834
25,9.848919480939531e-05,0.6813083008130546,0.6283322266436732,5.904009188652044,0.9056170298355656
26,5.946969992531941e-05,0.688009179526107,0.6313473627065448,5.695070811009139,0.8990773764266379
27,4.3477279667478375e-05,0.6822975094859688,0.6190537282656542,5.8551519235667,0.8933172177171438
28,3.615645254969296e-05,0.6792844777349277,0.6287545227076085,5.839670301789935,0.8903645206902352
29,4.06909620511174e-05,0.6775061410200658,0.6214444435792107,5.9131272228026015,0.8927154898156087
30,3.615003665585635e-05,0.6775383882383376,0.6314756984072637,5.9585080517154,0.8833773687163439
31,2.9637430876960306e-05,0.6801213251958774,0.6261642637548498,5.883451009109574,0.8911443676502189
32,2.766710824761149e-05,0.6759879823866236,0.6297527411726048,5.962710808365845,0.893014084667072
33,2.3215272328566843e-05,0.6711362031973177,0.6255205114432437,6.046870025488475,0.8938018477086774
34,2.314029538403079e-05,0.6709084481659688,0.6169472276416145,6.029976559135824,0.8879765624491914
