bin,Hybrid_JK,Hybrid,TransFun,DeepFRI_Seq,DeepFRI_Cmap,BLAST,DIAMOND,Naive
<20%,0.833052285393374,0.813193955949151,0.5203354595681468,0.26094294291300335,0.3396619182887478,0.7302741530154171,0.7872860676234843,0.32468732931936295
20–40%,0.23696957190520593,0.23398434647213956,0.30904718906234935,0.24827731538754133,0.22117431236207702,0.3606335592477358,0.35160050512264174,0.24260599926726925
40–60%,0.5599038764388646,0.5633037644579506,0.2748066747928261,0.23284382603041287,0.3786027425110109,0.6571373189753268,0.5496958179600151,0.14368550885113213
>60%,0.9395209052326585,0.9369475687562829,0.29155892910094094,0.14212114965864722,0.4523170212200981,0.9446458001728943,0.9579551735552736,0.13492622432002718
