epoch=1 loss=1.190887 validation_macro_fmax=0.224920 validation_micro_fmax=0.253511
epoch=2 loss=1.041120 validation_macro_fmax=0.207561 validation_micro_fmax=0.076729
epoch=3 loss=0.831601 validation_macro_fmax=0.212235 validation_micro_fmax=0.063955
epoch=4 loss=0.664725 validation_macro_fmax=0.225495 validation_micro_fmax=0.056113
epoch=5 loss=0.550245 validation_macro_fmax=0.235402 validation_micro_fmax=0.084002
epoch=6 loss=0.470133 validation_macro_fmax=0.243300 validation_micro_fmax=0.092818
epoch=7 loss=0.410483 validation_macro_fmax=0.251316 validation_micro_fmax=0.100244
epoch=8 loss=0.363973 validation_macro_fmax=0.259069 validation_micro_fmax=0.131162
epoch=9 loss=0.326186 validation_macro_fmax=0.259170 validation_micro_fmax=0.153584
epoch=10 loss=0.296275 validation_macro_fmax=0.259735 validation_micro_fmax=0.160094
epoch=11 loss=0.271793 validation_macro_fmax=0.265153 validation_micro_fmax=0.150207
epoch=12 loss=0.249771 validation_macro_fmax=0.265086 validation_micro_fmax=0.158692
epoch=13 loss=0.231002 validation_macro_fmax=0.265720 validation_micro_fmax=0.182159
epoch=14 loss=0.214586 validation_macro_fmax=0.272175 validation_micro_fmax=0.174359
epoch=15 loss=0.201805 validation_macro_fmax=0.275580 validation_micro_fmax=0.171195
epoch=16 loss=0.186954 validation_macro_fmax=0.273299 validation_micro_fmax=0.178699
epoch=17 loss=0.177873 validation_macro_fmax=0.275460 validation_micro_fmax=0.172724
epoch=18 loss=0.168004 validation_macro_fmax=0.278789 validation_micro_fmax=0.176108
epoch=19 loss=0.158735 validation_macro_fmax=0.279186 validation_micro_fmax=0.168168
epoch=20 loss=0.150997 validation_macro_fmax=0.284560 validation_micro_fmax=0.182800
epoch=21 loss=0.144342 validation_macro_fmax=0.290725 validation_micro_fmax=0.177273
epoch=22 loss=0.137494 validation_macro_fmax=0.295803 validation_micro_fmax=0.185750
epoch=23 loss=0.131269 validation_macro_fmax=0.295526 validation_micro_fmax=0.186060
epoch=24 loss=0.126770 validation_macro_fmax=0.298084 validation_micro_fmax=0.193079
epoch=25 loss=0.121208 validation_macro_fmax=0.300877 validation_micro_fmax=0.195981
epoch=26 loss=0.117004 validation_macro_fmax=0.302876 validation_micro_fmax=0.190408
epoch=27 loss=0.112767 validation_macro_fmax=0.303776 validation_micro_fmax=0.192084
