epoch=1 loss=1.224070 validation_macro_fmax=0.167634 validation_micro_fmax=0.036062
epoch=2 loss=1.125814 validation_macro_fmax=0.164862 validation_micro_fmax=0.044437
epoch=3 loss=0.983314 validation_macro_fmax=0.175327 validation_micro_fmax=0.034703
epoch=4 loss=0.852087 validation_macro_fmax=0.177889 validation_micro_fmax=0.037645
epoch=5 loss=0.758728 validation_macro_fmax=0.177428 validation_micro_fmax=0.035100
epoch=6 loss=0.689693 validation_macro_fmax=0.183848 validation_micro_fmax=0.035368
epoch=7 loss=0.640713 validation_macro_fmax=0.186675 validation_micro_fmax=0.037405
epoch=8 loss=0.589842 validation_macro_fmax=0.190770 validation_micro_fmax=0.043796
epoch=9 loss=0.547504 validation_macro_fmax=0.191250 validation_micro_fmax=0.043094
epoch=10 loss=0.507239 validation_macro_fmax=0.198897 validation_micro_fmax=0.054906
epoch=11 loss=0.472309 validation_macro_fmax=0.198515 validation_micro_fmax=0.057798
epoch=12 loss=0.440730 validation_macro_fmax=0.202491 validation_micro_fmax=0.065391
epoch=13 loss=0.412922 validation_macro_fmax=0.205042 validation_micro_fmax=0.062517
epoch=14 loss=0.387151 validation_macro_fmax=0.206826 validation_micro_fmax=0.063005
epoch=15 loss=0.365251 validation_macro_fmax=0.212648 validation_micro_fmax=0.065206
epoch=16 loss=0.342789 validation_macro_fmax=0.219993 validation_micro_fmax=0.069496
epoch=17 loss=0.329128 validation_macro_fmax=0.221868 validation_micro_fmax=0.071781
epoch=18 loss=0.315394 validation_macro_fmax=0.221766 validation_micro_fmax=0.081994
epoch=19 loss=0.298939 validation_macro_fmax=0.224938 validation_micro_fmax=0.086653
epoch=20 loss=0.287888 validation_macro_fmax=0.226400 validation_micro_fmax=0.082260
epoch=21 loss=0.276983 validation_macro_fmax=0.228086 validation_micro_fmax=0.083132
epoch=22 loss=0.268071 validation_macro_fmax=0.226548 validation_micro_fmax=0.084109
epoch=23 loss=0.256641 validation_macro_fmax=0.228711 validation_micro_fmax=0.089139
epoch=24 loss=0.247694 validation_macro_fmax=0.227788 validation_micro_fmax=0.084083
epoch=25 loss=0.241305 validation_macro_fmax=0.223850 validation_micro_fmax=0.087068
epoch=26 loss=0.231753 validation_macro_fmax=0.226932 validation_micro_fmax=0.083233
epoch=27 loss=0.224008 validation_macro_fmax=0.235295 validation_micro_fmax=0.092641
epoch=28 loss=0.216480 validation_macro_fmax=0.233399 validation_micro_fmax=0.095860
epoch=29 loss=0.211231 validation_macro_fmax=0.234659 validation_micro_fmax=0.094395
epoch=30 loss=0.207406 validation_macro_fmax=0.238814 validation_micro_fmax=0.088568
epoch=31 loss=0.200725 validation_macro_fmax=0.234268 validation_micro_fmax=0.087696
epoch=32 loss=0.194960 validation_macro_fmax=0.239619 validation_micro_fmax=0.090111
epoch=33 loss=0.189577 validation_macro_fmax=0.233031 validation_micro_fmax=0.093523
epoch=34 loss=0.184256 validation_macro_fmax=0.240100 validation_micro_fmax=0.095870
epoch=35 loss=0.180173 validation_macro_fmax=0.237569 validation_micro_fmax=0.100550
epoch=36 loss=0.179070 validation_macro_fmax=0.240239 validation_micro_fmax=0.095694
epoch=37 loss=0.172299 validation_macro_fmax=0.240090 validation_micro_fmax=0.100241
epoch=38 loss=0.169858 validation_macro_fmax=0.243946 validation_micro_fmax=0.099204
epoch=39 loss=0.166310 validation_macro_fmax=0.241354 validation_micro_fmax=0.100276
epoch=40 loss=0.160633 validation_macro_fmax=0.243760 validation_micro_fmax=0.094321
epoch=41 loss=0.156501 validation_macro_fmax=0.241630 validation_micro_fmax=0.107776
epoch=42 loss=0.154390 validation_macro_fmax=0.239543 validation_micro_fmax=0.104292
epoch=43 loss=0.149464 validation_macro_fmax=0.241850 validation_micro_fmax=0.109340
epoch=44 loss=0.147379 validation_macro_fmax=0.243894 validation_micro_fmax=0.111761
epoch=45 loss=0.144012 validation_macro_fmax=0.245249 validation_micro_fmax=0.108370
epoch=46 loss=0.145476 validation_macro_fmax=0.240040 validation_micro_fmax=0.109167
epoch=47 loss=0.138600 validation_macro_fmax=0.242778 validation_micro_fmax=0.109941
epoch=48 loss=0.138370 validation_macro_fmax=0.240925 validation_micro_fmax=0.105607
epoch=49 loss=0.134760 validation_macro_fmax=0.244300 validation_micro_fmax=0.110846
epoch=50 loss=0.130841 validation_macro_fmax=0.241197 validation_micro_fmax=0.105972
epoch=51 loss=0.128291 validation_macro_fmax=0.242050 validation_micro_fmax=0.112200
epoch=52 loss=0.126874 validation_macro_fmax=0.247205 validation_micro_fmax=0.105923
epoch=53 loss=0.123354 validation_macro_fmax=0.248164 validation_micro_fmax=0.106524
epoch=54 loss=0.122840 validation_macro_fmax=0.251302 validation_micro_fmax=0.110997
epoch=55 loss=0.121731 validation_macro_fmax=0.247840 validation_micro_fmax=0.106676
epoch=56 loss=0.117199 validation_macro_fmax=0.247763 validation_micro_fmax=0.107313
epoch=57 loss=0.115807 validation_macro_fmax=0.246890 validation_micro_fmax=0.105817
epoch=58 loss=0.114502 validation_macro_fmax=0.249175 validation_micro_fmax=0.113114
epoch=59 loss=0.110474 validation_macro_fmax=0.248379 validation_micro_fmax=0.108104
epoch=60 loss=0.109490 validation_macro_fmax=0.250405 validation_micro_fmax=0.110621
epoch=61 loss=0.106698 validation_macro_fmax=0.251445 validation_micro_fmax=0.108978
epoch=62 loss=0.107480 validation_macro_fmax=0.250695 validation_micro_fmax=0.115397
epoch=63 loss=0.104568 validation_macro_fmax=0.249793 validation_micro_fmax=0.120700
epoch=64 loss=0.109279 validation_macro_fmax=0.255236 validation_micro_fmax=0.121811
epoch=65 loss=0.100682 validation_macro_fmax=0.250591 validation_micro_fmax=0.107563
epoch=66 loss=0.098150 validation_macro_fmax=0.252574 validation_micro_fmax=0.119843
epoch=67 loss=0.097420 validation_macro_fmax=0.249891 validation_micro_fmax=0.112120
epoch=68 loss=0.094922 validation_macro_fmax=0.248969 validation_micro_fmax=0.109130
epoch=69 loss=0.094010 validation_macro_fmax=0.252211 validation_micro_fmax=0.114526
epoch=70 loss=0.093364 validation_macro_fmax=0.246405 validation_micro_fmax=0.108257
epoch=71 loss=0.090891 validation_macro_fmax=0.255736 validation_micro_fmax=0.121230
epoch=72 loss=0.088741 validation_macro_fmax=0.251317 validation_micro_fmax=0.118330
epoch=73 loss=0.087571 validation_macro_fmax=0.253130 validation_micro_fmax=0.121074
epoch=74 loss=0.086694 validation_macro_fmax=0.252289 validation_micro_fmax=0.119986
epoch=75 loss=0.085693 validation_macro_fmax=0.253841 validation_micro_fmax=0.123128
epoch=76 loss=0.084482 validation_macro_fmax=0.256302 validation_micro_fmax=0.126070
epoch=77 loss=0.082424 validation_macro_fmax=0.253610 validation_micro_fmax=0.117557
epoch=78 loss=0.083167 validation_macro_fmax=0.250884 validation_micro_fmax=0.120955
epoch=79 loss=0.079876 validation_macro_fmax=0.254219 validation_micro_fmax=0.120942
epoch=80 loss=0.079449 validation_macro_fmax=0.255052 validation_micro_fmax=0.123546
epoch=81 loss=0.077950 validation_macro_fmax=0.254327 validation_micro_fmax=0.122381
epoch=82 loss=0.076474 validation_macro_fmax=0.254406 validation_micro_fmax=0.122606
epoch=83 loss=0.075467 validation_macro_fmax=0.249646 validation_micro_fmax=0.116882
epoch=84 loss=0.075007 validation_macro_fmax=0.253589 validation_micro_fmax=0.124781
{"input_modality": "seq_only", "model": "MLP", "ontology": "biological_process", "split_label": "nominal_30_identity_80_coverage", "test": {"Macro_AUPRC": 0.16767376589001456, "Macro_AUROC": 0.7318881844485423, "Macro_Fmax": 0.2564594295451639, "Micro_AUPRC": 0.09132283547446018, "Micro_AUROC": 0.8410271810735792, "Micro_Fmax": 0.16885414381484312, "Smin": 96.54752747536111}}
