epoch=1 loss=1.232952 validation_macro_fmax=0.039124 validation_micro_fmax=0.020781
epoch=2 loss=1.207356 validation_macro_fmax=0.039983 validation_micro_fmax=0.053438
epoch=3 loss=1.190243 validation_macro_fmax=0.040476 validation_micro_fmax=0.040641
epoch=4 loss=1.185844 validation_macro_fmax=0.039758 validation_micro_fmax=0.076683
epoch=5 loss=1.182667 validation_macro_fmax=0.040571 validation_micro_fmax=0.092737
epoch=6 loss=1.183842 validation_macro_fmax=0.040375 validation_micro_fmax=0.057069
epoch=7 loss=1.181395 validation_macro_fmax=0.040558 validation_micro_fmax=0.045569
epoch=8 loss=1.179864 validation_macro_fmax=0.040289 validation_micro_fmax=0.070886
epoch=9 loss=1.178718 validation_macro_fmax=0.039620 validation_micro_fmax=0.084326
epoch=10 loss=1.181288 validation_macro_fmax=0.039402 validation_micro_fmax=0.028118
epoch=11 loss=1.181188 validation_macro_fmax=0.039335 validation_micro_fmax=0.044898
epoch=12 loss=1.182935 validation_macro_fmax=0.040757 validation_micro_fmax=0.105897
epoch=13 loss=1.179655 validation_macro_fmax=0.040375 validation_micro_fmax=0.047118
epoch=14 loss=1.179937 validation_macro_fmax=0.039520 validation_micro_fmax=0.061278
epoch=15 loss=1.179680 validation_macro_fmax=0.039974 validation_micro_fmax=0.063055
epoch=16 loss=1.181437 validation_macro_fmax=0.039055 validation_micro_fmax=0.085081
epoch=17 loss=1.184031 validation_macro_fmax=0.040835 validation_micro_fmax=0.038644
epoch=18 loss=1.181023 validation_macro_fmax=0.040074 validation_micro_fmax=0.092199
epoch=19 loss=1.180873 validation_macro_fmax=0.040940 validation_micro_fmax=0.032922
epoch=20 loss=1.183279 validation_macro_fmax=0.040945 validation_micro_fmax=0.044299
epoch=21 loss=1.187048 validation_macro_fmax=0.039939 validation_micro_fmax=0.037495
epoch=22 loss=1.184729 validation_macro_fmax=0.040292 validation_micro_fmax=0.066457
epoch=23 loss=1.185224 validation_macro_fmax=0.040932 validation_micro_fmax=0.078175
epoch=24 loss=1.184492 validation_macro_fmax=0.040940 validation_micro_fmax=0.088914
epoch=25 loss=1.184633 validation_macro_fmax=0.039597 validation_micro_fmax=0.064126
epoch=26 loss=1.185699 validation_macro_fmax=0.040269 validation_micro_fmax=0.041710
epoch=27 loss=1.182876 validation_macro_fmax=0.039833 validation_micro_fmax=0.059375
epoch=28 loss=1.188079 validation_macro_fmax=0.040230 validation_micro_fmax=0.050492
{"input_modality": "struct_only", "model": "MLP", "ontology": "biological_process", "split_label": "nominal_30_identity_80_coverage", "test": {"Macro_AUPRC": 0.48303927224625104, "Macro_AUROC": 0.5006161314247274, "Macro_Fmax": 0.05211550178712608, "Micro_AUPRC": 0.022039443721895306, "Micro_AUROC": 0.7095933728922889, "Micro_Fmax": 0.0645856838118235, "Smin": 101.0556904085435}}
