epoch=1 loss=1.224189 validation_macro_fmax=0.173670 validation_micro_fmax=0.036313
epoch=2 loss=1.097218 validation_macro_fmax=0.162175 validation_micro_fmax=0.032066
epoch=3 loss=0.954430 validation_macro_fmax=0.182563 validation_micro_fmax=0.030932
epoch=4 loss=0.819764 validation_macro_fmax=0.189529 validation_micro_fmax=0.034194
epoch=5 loss=0.733523 validation_macro_fmax=0.200484 validation_micro_fmax=0.040337
epoch=6 loss=0.655997 validation_macro_fmax=0.201262 validation_micro_fmax=0.042809
epoch=7 loss=0.583622 validation_macro_fmax=0.213051 validation_micro_fmax=0.049042
epoch=8 loss=0.524603 validation_macro_fmax=0.214831 validation_micro_fmax=0.054263
epoch=9 loss=0.476399 validation_macro_fmax=0.227819 validation_micro_fmax=0.070108
epoch=10 loss=0.436872 validation_macro_fmax=0.225186 validation_micro_fmax=0.064352
epoch=11 loss=0.404599 validation_macro_fmax=0.235319 validation_micro_fmax=0.080959
epoch=12 loss=0.373435 validation_macro_fmax=0.236793 validation_micro_fmax=0.074356
epoch=13 loss=0.349299 validation_macro_fmax=0.242790 validation_micro_fmax=0.077643
epoch=14 loss=0.328437 validation_macro_fmax=0.245445 validation_micro_fmax=0.081338
epoch=15 loss=0.311131 validation_macro_fmax=0.248645 validation_micro_fmax=0.080761
epoch=16 loss=0.296926 validation_macro_fmax=0.248796 validation_micro_fmax=0.079798
epoch=17 loss=0.282504 validation_macro_fmax=0.246850 validation_micro_fmax=0.081914
epoch=18 loss=0.271678 validation_macro_fmax=0.250443 validation_micro_fmax=0.086181
epoch=19 loss=0.258878 validation_macro_fmax=0.248700 validation_micro_fmax=0.084384
epoch=20 loss=0.249268 validation_macro_fmax=0.245659 validation_micro_fmax=0.078559
epoch=21 loss=0.241862 validation_macro_fmax=0.249550 validation_micro_fmax=0.085187
epoch=22 loss=0.234668 validation_macro_fmax=0.243111 validation_micro_fmax=0.082357
epoch=23 loss=0.228984 validation_macro_fmax=0.244143 validation_micro_fmax=0.083077
epoch=24 loss=0.220850 validation_macro_fmax=0.243990 validation_micro_fmax=0.083461
epoch=25 loss=0.213771 validation_macro_fmax=0.237291 validation_micro_fmax=0.082179
epoch=26 loss=0.207963 validation_macro_fmax=0.240453 validation_micro_fmax=0.078848
{"input_modality": "full", "model": "GCN", "ontology": "biological_process", "split_label": "nominal_30_identity_80_coverage", "test": {"Macro_AUPRC": 0.16556830174008147, "Macro_AUROC": 0.7112272987122362, "Macro_Fmax": 0.26718931978935173, "Micro_AUPRC": 0.04794225674970029, "Micro_AUROC": 0.8061813493824235, "Micro_Fmax": 0.09851641936714779, "Smin": 99.37375001306033}}
