Epoch,Train_Loss,Valid_Micro_Fmax,Valid_Macro_Fmax,Valid_Smin,Valid_Macro_AUROC
1,0.007588062310162655,0.3089562289109975,0.2569962440258192,10.917247034130165,0.7403726010778114
2,0.001440421802051846,0.43149822588630626,0.3791122993985648,9.557343734300716,0.8393178837823618
3,0.000918912495162613,0.5262343973875834,0.47236374812037885,8.358409192445087,0.865359480150147
4,0.0006849933403554816,0.528152919127233,0.4965837874862143,8.438861810710605,0.897933012995614
5,0.000545415050018216,0.5894663410739684,0.584050817868883,7.236660840453933,0.9136727658060477
6,0.0004411852006109636,0.6075039316511616,0.6015516328991634,7.069228507187723,0.9014061200616859
7,0.00037574833134771616,0.6090640393589575,0.6392288159162282,7.024191315215931,0.922300694405639
8,0.0003112433228271848,0.6443742511210675,0.6411451219884682,6.58834649432379,0.9166040166854674
9,0.00027410779301351986,0.6240184273398175,0.6450416321209352,6.726825217368584,0.9123044396521827
10,0.00027458546387820873,0.6539045172848584,0.6604195664532532,6.305037929775957,0.924465452989585
11,0.00023110774555218274,0.6659639259289358,0.6485494644387884,6.087243486238821,0.9225893931606443
12,0.0001999279039357978,0.6547394154409292,0.6655261339022928,6.25630725330515,0.9318463429055482
13,0.0002105099421634949,0.6492662708140645,0.6388235679596386,6.38823345363949,0.9046195438350271
14,0.0001790596316274807,0.6522922791617565,0.6549958605014239,6.3480817925538355,0.9299026904658181
15,0.00017628113934641318,0.6600226500071308,0.6323785367719378,6.201036727486417,0.920619651624731
16,0.00016209371878228077,0.6532312541724651,0.6681140551375011,6.440402019140718,0.9194481522089113
17,0.00024735977252384606,0.6629187700286784,0.642402889073057,6.09732050542276,0.9237043810706232
18,0.00014549097025543057,0.6636403896757092,0.6168321248603155,6.222142766097137,0.906436207048195
19,0.00013221667131012066,0.6717645695255816,0.6238797035229944,5.984921138245101,0.9107097121856502
20,0.00012827601753534796,0.6735952489227369,0.6588529209410026,5.964612043919017,0.9203992807151272
21,0.00012408255437206051,0.6664452562328071,0.6412667202033402,6.028162269467921,0.9259125481476413
22,0.0001751661341611266,0.6462480857082383,0.6068717872555255,6.528311844435623,0.9021859059542073
23,9.553752794185328e-05,0.6906540981228897,0.6551468897080258,5.745181443290115,0.9214177583705855
24,6.390856354370883e-05,0.6897109826097217,0.6504086096293257,5.785203253901812,0.9190408987382286
25,5.5028263321029555e-05,0.6832683038294795,0.6535649710129898,5.822642409697787,0.9124865716399808
26,4.933363392428738e-05,0.6875641171282845,0.6442839016743246,5.801804866173332,0.9083983614241533
27,4.884787650918938e-05,0.6919278906384654,0.6603754970275361,5.6974863963261075,0.9161999967163861
28,5.145523422409499e-05,0.6740985097901647,0.6486104147940405,5.991232525672706,0.9163107351150989
29,3.962195402184156e-05,0.6792363892982138,0.657522581219812,5.9261957001811645,0.9168637628218983
30,3.073593396060636e-05,0.686046511578752,0.6459832473385971,5.817208853054152,0.9122764342842002
31,3.578644734676869e-05,0.6801582814654673,0.6495256779459717,5.85968534032923,0.9178967177756133
