Epoch,Train_Loss,Valid_Micro_Fmax,Valid_Macro_Fmax,Valid_Smin,Valid_Macro_AUROC
1,0.011466600749613925,0.13087420236264025,0.2293314166392254,30.391898265838456,0.6967040089502324
2,0.003377011505119669,0.3276651131053862,0.3527595949066775,26.43702741443914,0.8379852321091389
3,0.001286255729860781,0.5045468171779821,0.5886847972557103,21.11297700819196,0.9218572638995036
4,0.0007698129753931136,0.598319505314232,0.7091464565983097,17.544506671426948,0.9486022154472827
5,0.0005055183340233771,0.6860231659733464,0.7651933907865124,14.097914380986863,0.9495854640153998
6,0.0003636978726537099,0.730889073485762,0.8140721160718738,12.281300170533642,0.9608226273233393
7,0.0002595617341411487,0.7629822731515223,0.8494969732129023,10.841014287645324,0.969866959412748
8,0.0002098813385316448,0.7638841566791315,0.8543676175693731,10.762492032192444,0.9648045802136868
9,0.0001729938651018524,0.7829720553172222,0.8652970614853873,9.935752669818699,0.9725518170129408
10,0.00014981363601601283,0.7933196248058639,0.8640898410561064,9.34539704946559,0.9681510332788161
11,0.0001299173703905953,0.8059627574777534,0.8768692525840421,8.70526493191519,0.9713814090529684
12,0.00010587338561962864,0.8206372978895704,0.8804049078954925,8.333255065399866,0.9738710783188008
13,0.00010187214300156024,0.808205128155285,0.8817050929994275,8.811215610940362,0.9694295918944148
14,7.646294722529839e-05,0.8167336759641618,0.8770033704013616,8.315158844275464,0.9676398589849572
15,6.314451588799013e-05,0.8202441505096241,0.8797185033479428,8.31745000474944,0.9688561838504067
16,7.14742672882706e-05,0.8219276244574909,0.8848679987523534,8.067954501629863,0.9706039925567109
17,5.682297491843445e-05,0.8311234453196836,0.8880801050173007,7.665420212323207,0.9699241985301361
18,4.9545594186521485e-05,0.8273729773798477,0.8895849192072235,7.837693198148129,0.9643525537495583
19,4.8737918836145954e-05,0.8341708542215797,0.8938447768123273,7.643201963494645,0.9712111068491648
20,5.2700456575662125e-05,0.8260617250888588,0.8879761179610368,8.108739478679835,0.9727458797634642
21,6.173884599508888e-05,0.8202577894558354,0.8761361409052233,8.143265838343412,0.9676945828069036
22,7.755399166208301e-05,0.8041951219012204,0.8747167906948267,8.571234211577941,0.9615026603652492
23,4.547073220837819e-05,0.8300395256417942,0.8902068881863069,7.751118240879222,0.9722819914649999
24,0.0001100836688334948,0.7463201704911638,0.8313948326062264,11.336971072376013,0.9664136839499835
25,0.00012211180389654406,0.8225847958737985,0.883507028398017,8.14120517717898,0.9697157670064154
26,4.340914850084662e-05,0.8537830728265656,0.894611604064756,7.143475813088756,0.9720977412801083
27,2.766570079271224e-05,0.8465577017826103,0.8925206145892152,6.991317128880533,0.9721881698503211
28,2.3607517624908403e-05,0.8511311985610317,0.8923992985087931,6.87943236886418,0.9705749551026932
29,2.0900261691260072e-05,0.8524105595261082,0.8940038861239403,6.747916641981157,0.9733919504214608
30,1.927665716472845e-05,0.8496528126702022,0.8929953767705676,6.7714025117283265,0.9701385411786706
31,1.920045872931373e-05,0.8496294039505092,0.8917910589253248,6.72792483348544,0.9722967364779659
32,1.915495916817926e-05,0.8523124357158424,0.8925425362525524,6.725865232045144,0.9709343716152994
33,1.4329639370026727e-05,0.8547181248237928,0.892281924173904,6.473145788933039,0.9723012863744831
34,1.3409500677984528e-05,0.8557441932634585,0.891976300154749,6.4528900502474045,0.9708114903144959
35,1.2563283523375065e-05,0.8542498004288875,0.8914796144210902,6.426737425221647,0.9707793932241477
36,1.1646202478609678e-05,0.8546421999599747,0.8919076422010453,6.411371233081178,0.9706853897050169
37,1.1704975040674643e-05,0.857288429154788,0.8917071085723034,6.394629754363783,0.9707861485419325
38,1.0960053406315931e-05,0.8545324621796115,0.8919035372858345,6.425166142372951,0.970914637059149
39,1.0090367978787872e-05,0.854612767610642,0.8915860309190144,6.391491773276642,0.9711989135435488
40,9.4961120812378e-06,0.8565662680495661,0.891190216499994,6.4128353455032086,0.9711800085796899
41,9.464441240351094e-06,0.8564869138830904,0.8905995541442249,6.396552558747665,0.9708738197903527
42,9.855307359066952e-06,0.8570533242308509,0.8900649445581763,6.452912916216792,0.9712864765287604
43,9.342805684111235e-06,0.8539936584129983,0.8914098112603069,6.408244667471387,0.9704333225543246
44,9.152450947525808e-06,0.8536181735622091,0.89003560150186,6.462708878858167,0.9706926901464445
45,8.71841495753696e-06,0.8524491029534976,0.8901832394176765,6.516099236893395,0.9713239409549121
46,8.280919412192938e-06,0.8551408986553589,0.8912447768449435,6.496336111343576,0.970586579935701
