epoch,train_loss,validation_micro_fmax,validation_macro_fmax,validation_micro_aupr,validation_macro_aupr,validation_micro_auroc,validation_macro_auroc,validation_smin,validation_micro_fmax_threshold,validation_rare_term_micro_fmax_train_count_1_to_10,rare_term_count,brier_score,expected_calibration_error_10_bins,threshold_sensitivity
1,0.3919981897823394,0.09260548319723728,0.1909633305210668,0.04956381517735215,0.11788883071313587,0.5046819025713946,0.4976210347374942,55.52012922056886,0.2768900692462921,0.019872813990170393,85,0.2714332938194275,0.45426112159572296,"[{'threshold': 0.1, 'micro_f1': 0.09216307427807316}, {'threshold': 0.2, 'micro_f1': 0.09224936306886102}, {'threshold': 0.3, 'micro_f1': 0.09104090877891413}, {'threshold': 0.4, 'micro_f1': 0.09028446141731473}, {'threshold': 0.5, 'micro_f1': 0.08959639044723494}, {'threshold': 0.6, 'micro_f1': 0.08585922106234016}, {'threshold': 0.7, 'micro_f1': 0.06750453485358901}, {'threshold': 0.8, 'micro_f1': 0.018427601049162686}, {'threshold': 0.9, 'micro_f1': 0.0003423778139176581}]"
2,0.3443999074438892,0.09300618529970893,0.1913394280519943,0.05019586092228768,0.11736399144322177,0.5142536243151542,0.5055096135597518,55.52004035019445,0.560453474521637,0.018409358846428307,85,0.2695778012275696,0.4547473402681158,"[{'threshold': 0.1, 'micro_f1': 0.09214767183682565}, {'threshold': 0.2, 'micro_f1': 0.09214757082260872}, {'threshold': 0.3, 'micro_f1': 0.09243722417001937}, {'threshold': 0.4, 'micro_f1': 0.09122846093101424}, {'threshold': 0.5, 'micro_f1': 0.09062544214343692}, {'threshold': 0.6, 'micro_f1': 0.08767499233610207}, {'threshold': 0.7, 'micro_f1': 0.06141350812197207}, {'threshold': 0.8, 'micro_f1': 0.012392823690467611}, {'threshold': 0.9, 'micro_f1': 0.0001717622810030917}]"
3,0.31831732739216434,0.09519286398904346,0.2009312444923133,0.051349702918955284,0.12302442646468655,0.5241237725241344,0.5121874320856572,55.520058619314085,0.5250415205955505,0.030217452696860728,85,0.26746731996536255,0.4538930365888316,"[{'threshold': 0.1, 'micro_f1': 0.09214730517478065}, {'threshold': 0.2, 'micro_f1': 0.09223400122551474}, {'threshold': 0.3, 'micro_f1': 0.0927361336737062}, {'threshold': 0.4, 'micro_f1': 0.09276742219896131}, {'threshold': 0.5, 'micro_f1': 0.0943358073140957}, {'threshold': 0.6, 'micro_f1': 0.08884344125475571}, {'threshold': 0.7, 'micro_f1': 0.05998260277599183}, {'threshold': 0.8, 'micro_f1': 0.009316303531179564}, {'threshold': 0.9, 'micro_f1': 0.00017202821262687077}]"
4,0.29967000055565407,0.09619960517312216,0.2080699766393742,0.05135096577475364,0.12692948663107573,0.5261205663415518,0.5146573555733954,55.52005671407064,0.4997757375240326,0.03498392282947431,85,0.26547837257385254,0.45336416323823825,"[{'threshold': 0.1, 'micro_f1': 0.09214609692050608}, {'threshold': 0.2, 'micro_f1': 0.09208833190802357}, {'threshold': 0.3, 'micro_f1': 0.09296684177066952}, {'threshold': 0.4, 'micro_f1': 0.09359814176502479}, {'threshold': 0.5, 'micro_f1': 0.09616136110860612}, {'threshold': 0.6, 'micro_f1': 0.08637121378919888}, {'threshold': 0.7, 'micro_f1': 0.04956280303344246}, {'threshold': 0.8, 'micro_f1': 0.005803011292346298}, {'threshold': 0.9, 'micro_f1': 0.00017225045215743688}]"
5,0.2857966960737945,0.0988384339921975,0.212543941244585,0.0528782189688741,0.13438854522346114,0.5341894042383241,0.5201364922474956,55.52033069395209,0.499551922082901,0.045781309118272155,85,0.26468729972839355,0.45302413518090173,"[{'threshold': 0.1, 'micro_f1': 0.09214463046661149}, {'threshold': 0.2, 'micro_f1': 0.09209080410624448}, {'threshold': 0.3, 'micro_f1': 0.09293712929020177}, {'threshold': 0.4, 'micro_f1': 0.09411974995407218}, {'threshold': 0.5, 'micro_f1': 0.09862129302802666}, {'threshold': 0.6, 'micro_f1': 0.08689159994916762}, {'threshold': 0.7, 'micro_f1': 0.055903735271998}, {'threshold': 0.8, 'micro_f1': 0.007107881851208339}, {'threshold': 0.9, 'micro_f1': 0.00017232465965879714}]"
6,0.27321609586634965,0.09881668410024706,0.21801491964887215,0.052165110155776545,0.13925146057422272,0.5321473244571309,0.5201521132676462,55.52027783613539,0.5126407146453857,0.05341472720307608,85,0.2631687819957733,0.4522545957822895,"[{'threshold': 0.1, 'micro_f1': 0.09214316405939176}, {'threshold': 0.2, 'micro_f1': 0.09215474907174512}, {'threshold': 0.3, 'micro_f1': 0.09290124098364064}, {'threshold': 0.4, 'micro_f1': 0.09418527961254886}, {'threshold': 0.5, 'micro_f1': 0.09764370949179235}, {'threshold': 0.6, 'micro_f1': 0.08434947611583203}, {'threshold': 0.7, 'micro_f1': 0.05012104366538151}, {'threshold': 0.8, 'micro_f1': 0.005027570548167369}, {'threshold': 0.9, 'micro_f1': 0.0001724732666436702}]"
7,0.2636838261254881,0.10180249059981408,0.22341985559394872,0.05360512626323029,0.14867784322057467,0.5382021228858213,0.5191239605866992,55.51417596725749,0.5467690229415894,0.060544494107922,85,0.2631458342075348,0.45323545534172477,"[{'threshold': 0.1, 'micro_f1': 0.09214169769884464}, {'threshold': 0.2, 'micro_f1': 0.09213596996884388}, {'threshold': 0.3, 'micro_f1': 0.09232091643180071}, {'threshold': 0.4, 'micro_f1': 0.09459004966879347}, {'threshold': 0.5, 'micro_f1': 0.09853500546077656}, {'threshold': 0.6, 'micro_f1': 0.08699915469146238}, {'threshold': 0.7, 'micro_f1': 0.057408844065166796}, {'threshold': 0.8, 'micro_f1': 0.004736240405030213}, {'threshold': 0.9, 'micro_f1': 0.0}]"
8,0.25645486955289487,0.10122587432082826,0.22649646070453278,0.053827334242431996,0.15314763469089254,0.5387434007788854,0.5321465167690826,55.52034801873481,0.547917366027832,0.07724917569444074,85,0.2622739374637604,0.45273301744840705,"[{'threshold': 0.1, 'micro_f1': 0.09214243087328426}, {'threshold': 0.2, 'micro_f1': 0.09214829230941024}, {'threshold': 0.3, 'micro_f1': 0.09218349289595858}, {'threshold': 0.4, 'micro_f1': 0.0946164969865194}, {'threshold': 0.5, 'micro_f1': 0.09901663630660389}, {'threshold': 0.6, 'micro_f1': 0.08918625303926471}, {'threshold': 0.7, 'micro_f1': 0.05561119855010254}, {'threshold': 0.8, 'micro_f1': 0.0027891714520098436}, {'threshold': 0.9, 'micro_f1': 0.0}]"
9,0.250067276692895,0.10361174253443149,0.22760611265742253,0.05535165746711799,0.15374113460768998,0.5469207438698412,0.5338506110934708,55.44960340787316,0.5330665111541748,0.09218662169720832,85,0.2603324353694916,0.4514040952433133,"[{'threshold': 0.1, 'micro_f1': 0.09214243087328426}, {'threshold': 0.2, 'micro_f1': 0.09211192479878173}, {'threshold': 0.3, 'micro_f1': 0.0922690907595171}, {'threshold': 0.4, 'micro_f1': 0.09511246406223575}, {'threshold': 0.5, 'micro_f1': 0.10173558834993007}, {'threshold': 0.6, 'micro_f1': 0.09159482758620689}, {'threshold': 0.7, 'micro_f1': 0.05106044802066259}, {'threshold': 0.8, 'micro_f1': 0.0033068783068783063}, {'threshold': 0.9, 'micro_f1': 0.0}]"
10,0.24298743194057829,0.10516970970299062,0.22356158156258865,0.05666946959997192,0.14770817213119206,0.5519163399109533,0.5382787653222962,55.3571246720887,0.5350977778434753,0.1215900233822442,85,0.2605517506599426,0.4520441580123098,"[{'threshold': 0.1, 'micro_f1': 0.09214243087328426}, {'threshold': 0.2, 'micro_f1': 0.09212037125633911}, {'threshold': 0.3, 'micro_f1': 0.09199585907716577}, {'threshold': 0.4, 'micro_f1': 0.0952972023766568}, {'threshold': 0.5, 'micro_f1': 0.10270270270270271}, {'threshold': 0.6, 'micro_f1': 0.09589533462727338}, {'threshold': 0.7, 'micro_f1': 0.054748158471033245}, {'threshold': 0.8, 'micro_f1': 0.0051222736285525435}, {'threshold': 0.9, 'micro_f1': 0.0}]"
