ontology,model,input_modality,checkpoint,split_label,evaluation_split,bin_type,bin,examples,positive_examples,positive_term_assignments,positive_terms,valid_auroc_terms,all_positive_terms,Micro_Fmax,Macro_Fmax,Macro_AUROC,Micro_AUROC,Macro_AUPRC,Micro_AUPRC,Smin
molecular_function,GAT,full,/home/ganeshiny.sridharan/dgg/deep-green-GO/arc_tuning_cafa/ablations/nominal_30_identity_80_coverage/molecular_function/GAT/full/seed_2207/best_checkpoint.pt,nominal_30_identity_80_coverage,valid,ic,2-4_bits,56,56,203,6,5,1,0.05546642217769632,0.8439312696320683,0.6754609648580728,0.9114173966663834,0.8189481546723303,0.020433686233012612,8.624266281671472
molecular_function,GAT,full,/home/ganeshiny.sridharan/dgg/deep-green-GO/arc_tuning_cafa/ablations/nominal_30_identity_80_coverage/molecular_function/GAT/full/seed_2207/best_checkpoint.pt,nominal_30_identity_80_coverage,valid,ic,4-6_bits,12,12,72,11,11,0,0.08727272723407337,0.9999999999499998,1.0,0.9075523599603428,1.0,0.03141361114514988,21.20520409451409
molecular_function,GAT,full,/home/ganeshiny.sridharan/dgg/deep-green-GO/arc_tuning_cafa/ablations/nominal_30_identity_80_coverage/molecular_function/GAT/full/seed_2207/best_checkpoint.pt,nominal_30_identity_80_coverage,valid,ic,<2_bits,38,38,76,2,0,2,0.0335507921583193,0.99999999995,,0.9008844479620104,1.0,0.009560451461635205,1.7073341074955912
molecular_function,GAT,full,/home/ganeshiny.sridharan/dgg/deep-green-GO/arc_tuning_cafa/ablations/nominal_30_identity_80_coverage/molecular_function/GAT/full/seed_2207/best_checkpoint.pt,nominal_30_identity_80_coverage,valid,ic,>=6_bits,550,550,4185,200,200,0,0.07793918261858185,0.2438036665768616,0.6549932931467065,0.7508639199295077,0.16670289395717192,0.02691605554794858,45.11110845488017
molecular_function,GAT,full,/home/ganeshiny.sridharan/dgg/deep-green-GO/arc_tuning_cafa/ablations/nominal_30_identity_80_coverage/molecular_function/GAT/full/seed_2207/best_checkpoint.pt,nominal_30_identity_80_coverage,valid,ic,no_positive_terms,98,0,0,0,0,0,,,,,,,
molecular_function,GAT,full,/home/ganeshiny.sridharan/dgg/deep-green-GO/arc_tuning_cafa/ablations/nominal_30_identity_80_coverage/molecular_function/GAT/full/seed_3301/best_checkpoint.pt,nominal_30_identity_80_coverage,valid,homology,30-40%,5,5,39,18,18,0,0.08791208786310832,0.6585537918447857,0.2592592592592593,0.7671828267499595,0.4981481481481482,0.027164407032986063,34.227688195459734
molecular_function,GAT,full,/home/ganeshiny.sridharan/dgg/deep-green-GO/arc_tuning_cafa/ablations/nominal_30_identity_80_coverage/molecular_function/GAT/full/seed_3301/best_checkpoint.pt,nominal_30_identity_80_coverage,valid,homology,40-60%,10,10,58,25,25,0,0.07197943442192689,0.5322608151760764,0.3966666666666667,0.71227562475692,0.44150617283950616,0.018521677854883407,33.15416639271313
molecular_function,GAT,full,/home/ganeshiny.sridharan/dgg/deep-green-GO/arc_tuning_cafa/ablations/nominal_30_identity_80_coverage/molecular_function/GAT/full/seed_3301/best_checkpoint.pt,nominal_30_identity_80_coverage,valid,homology,<30%,4,1,7,7,7,0,0.06451612899729449,0.4857142856797143,0.14285714285714285,0.5152174652293672,0.35714285714285715,0.008056083802174718,14.012696175237132
molecular_function,GAT,full,/home/ganeshiny.sridharan/dgg/deep-green-GO/arc_tuning_cafa/ablations/nominal_30_identity_80_coverage/molecular_function/GAT/full/seed_3301/best_checkpoint.pt,nominal_30_identity_80_coverage,valid,homology,>=60%,61,61,751,61,61,0,0.08583106262032654,0.4452546790406053,0.5047929934994642,0.7786439218100185,0.31597783405972946,0.035036280488697856,66.42658678389238
molecular_function,GAT,full,/home/ganeshiny.sridharan/dgg/deep-green-GO/arc_tuning_cafa/ablations/nominal_30_identity_80_coverage/molecular_function/GAT/full/seed_3301/best_checkpoint.pt,nominal_30_identity_80_coverage,valid,homology,no_hit,674,579,3681,161,161,0,0.2838366452335826,0.24473853479359747,0.773245757737473,0.7671576385282506,0.15714119042909028,0.12302176976391924,29.08122015358101
