epoch,train_loss,validation_micro_fmax,validation_macro_fmax,validation_micro_aupr,validation_macro_aupr,validation_micro_auroc,validation_macro_auroc,validation_smin,validation_micro_fmax_threshold,validation_rare_term_micro_fmax_train_count_1_to_10,rare_term_count,brier_score,expected_calibration_error_10_bins,threshold_sensitivity
1,0.7853373710056198,0.39597525643987397,0.38883818475398235,0.3028231532382581,0.31835416395910526,0.8693532950249301,0.698583868045425,43.333147346339395,0.844380259513855,0.097560975609445,91,0.08394388109445572,0.10863198497118348,"[{'threshold': 0.1, 'micro_f1': 0.2443291768289192}, {'threshold': 0.2, 'micro_f1': 0.2958546782076194}, {'threshold': 0.3, 'micro_f1': 0.3253312713085656}, {'threshold': 0.4, 'micro_f1': 0.3456024796590469}, {'threshold': 0.5, 'micro_f1': 0.3579702668480045}, {'threshold': 0.6, 'micro_f1': 0.372445117335352}, {'threshold': 0.7, 'micro_f1': 0.3797061098221191}, {'threshold': 0.8, 'micro_f1': 0.39521303438829214}, {'threshold': 0.9, 'micro_f1': 0.3863360187227148}]"
2,0.4286644954026852,0.4590440365777701,0.39657623241505535,0.29653480177572805,0.3125363671357875,0.8821222872097568,0.6883940087964959,50.00431048079641,0.7363151907920837,0.1397515527948158,91,0.0723341852426529,0.07966276720722378,"[{'threshold': 0.1, 'micro_f1': 0.31157666932175115}, {'threshold': 0.2, 'micro_f1': 0.36344759753743033}, {'threshold': 0.3, 'micro_f1': 0.3981285968616735}, {'threshold': 0.4, 'micro_f1': 0.42063217196555147}, {'threshold': 0.5, 'micro_f1': 0.43804781382586827}, {'threshold': 0.6, 'micro_f1': 0.4548758666964885}, {'threshold': 0.7, 'micro_f1': 0.4566737420402048}, {'threshold': 0.8, 'micro_f1': 0.4454209388296017}, {'threshold': 0.9, 'micro_f1': 0.397806335434231}]"
3,0.24340270400363506,0.36462460631878496,0.3948559713452218,0.22982872881435373,0.2889482212529793,0.8627653805006952,0.7044161054664143,48.83953633437862,0.46544551849365234,0.16483516483467353,91,0.07519391924142838,0.07652611803744165,"[{'threshold': 0.1, 'micro_f1': 0.30250126968004065}, {'threshold': 0.2, 'micro_f1': 0.3315262404939387}, {'threshold': 0.3, 'micro_f1': 0.3470019424936495}, {'threshold': 0.4, 'micro_f1': 0.35909036790094057}, {'threshold': 0.5, 'micro_f1': 0.3630218372897468}, {'threshold': 0.6, 'micro_f1': 0.3598025220080895}, {'threshold': 0.7, 'micro_f1': 0.35489522269388857}, {'threshold': 0.8, 'micro_f1': 0.32207198328537073}, {'threshold': 0.9, 'micro_f1': 0.2282255683495719}]"
4,0.15988444629809584,0.506142852113426,0.4142692220207174,0.42266162575820404,0.33480475640188284,0.8970989444162951,0.6925948147725235,36.01356660617132,0.7586141228675842,0.1701570680626418,91,0.059618789702653885,0.06128296229596871,"[{'threshold': 0.1, 'micro_f1': 0.38546228461506976}, {'threshold': 0.2, 'micro_f1': 0.4214162348877375}, {'threshold': 0.3, 'micro_f1': 0.4461534477847692}, {'threshold': 0.4, 'micro_f1': 0.46219400116968834}, {'threshold': 0.5, 'micro_f1': 0.4753174320636051}, {'threshold': 0.6, 'micro_f1': 0.48846590192865247}, {'threshold': 0.7, 'micro_f1': 0.5015175018547244}, {'threshold': 0.8, 'micro_f1': 0.5032018629020522}, {'threshold': 0.9, 'micro_f1': 0.4887014900933355}]"
5,0.11585226305204614,0.44163411242751355,0.4302658493003315,0.35007659121459467,0.33723132489400964,0.9004863937117898,0.6976772542721644,45.24545394464927,0.6613715291023254,0.24528301886755116,91,0.06400566548109055,0.062116491125037754,"[{'threshold': 0.1, 'micro_f1': 0.3820437740936572}, {'threshold': 0.2, 'micro_f1': 0.4020792222168744}, {'threshold': 0.3, 'micro_f1': 0.4180969706556988}, {'threshold': 0.4, 'micro_f1': 0.4283543448896893}, {'threshold': 0.5, 'micro_f1': 0.4328819767616417}, {'threshold': 0.6, 'micro_f1': 0.43964113534050636}, {'threshold': 0.7, 'micro_f1': 0.43796564041503655}, {'threshold': 0.8, 'micro_f1': 0.4313391368771995}, {'threshold': 0.9, 'micro_f1': 0.4167976830781961}]"
6,0.10388497324457852,0.4516975000708109,0.4106782670285017,0.35421771142379205,0.3263228336114281,0.9073350110118672,0.6642607838346384,46.17771290254918,0.4235645532608032,0.1690140845065756,91,0.05956237018108368,0.05436303745240924,"[{'threshold': 0.1, 'micro_f1': 0.41980929473412937}, {'threshold': 0.2, 'micro_f1': 0.44164312106063897}, {'threshold': 0.3, 'micro_f1': 0.44955881967899874}, {'threshold': 0.4, 'micro_f1': 0.451255829634208}, {'threshold': 0.5, 'micro_f1': 0.4503533357288298}, {'threshold': 0.6, 'micro_f1': 0.44306818914908713}, {'threshold': 0.7, 'micro_f1': 0.43533321672205705}, {'threshold': 0.8, 'micro_f1': 0.42187680796081306}, {'threshold': 0.9, 'micro_f1': 0.398518126488489}]"
7,0.09030124982843665,0.47116726088928623,0.39477661268103487,0.3942540472865922,0.32195576025384687,0.8944772287446594,0.6983489846452906,40.768536410632684,0.6662236452102661,0.3115942028981421,91,0.051287177950143814,0.04845514772766561,"[{'threshold': 0.1, 'micro_f1': 0.41540419796840294}, {'threshold': 0.2, 'micro_f1': 0.44116071176785765}, {'threshold': 0.3, 'micro_f1': 0.454160530191458}, {'threshold': 0.4, 'micro_f1': 0.4619720155978635}, {'threshold': 0.5, 'micro_f1': 0.46685698370700457}, {'threshold': 0.6, 'micro_f1': 0.46980214558818073}, {'threshold': 0.7, 'micro_f1': 0.4693545183714002}, {'threshold': 0.8, 'micro_f1': 0.45102446615371317}, {'threshold': 0.9, 'micro_f1': 0.4022357421971608}]"
8,0.07907912913284978,0.4648522975925122,0.41322852199574694,0.39201245470591506,0.3390937354903447,0.9057278301948364,0.6683049313387986,42.15566710117186,0.4512717127799988,0.17004048582952444,91,0.050740957260131836,0.04528138800819452,"[{'threshold': 0.1, 'micro_f1': 0.43494546098752307}, {'threshold': 0.2, 'micro_f1': 0.45216694337894314}, {'threshold': 0.3, 'micro_f1': 0.46169637025286925}, {'threshold': 0.4, 'micro_f1': 0.46291881869951}, {'threshold': 0.5, 'micro_f1': 0.462887323943662}, {'threshold': 0.6, 'micro_f1': 0.45805513073967696}, {'threshold': 0.7, 'micro_f1': 0.44820227885815517}, {'threshold': 0.8, 'micro_f1': 0.4304110072323161}, {'threshold': 0.9, 'micro_f1': 0.3982292081177875}]"
9,0.06982998911103615,0.4881682404720217,0.3802686361084644,0.4061474436511512,0.31764878491825066,0.8880722355267141,0.6779307292169297,39.04333704207196,0.7340021729469299,0.3057644110272513,91,0.05394475907087326,0.051978028790686484,"[{'threshold': 0.1, 'micro_f1': 0.4370299537384023}, {'threshold': 0.2, 'micro_f1': 0.46108436497019717}, {'threshold': 0.3, 'micro_f1': 0.46879004210140945}, {'threshold': 0.4, 'micro_f1': 0.47351385995834}, {'threshold': 0.5, 'micro_f1': 0.47874585468797104}, {'threshold': 0.6, 'micro_f1': 0.48320784451059356}, {'threshold': 0.7, 'micro_f1': 0.48598406609619355}, {'threshold': 0.8, 'micro_f1': 0.4837468592964824}, {'threshold': 0.9, 'micro_f1': 0.47444468406297174}]"
10,0.06689085908708427,0.4356487412089466,0.4241689017639332,0.389288196755319,0.3337619366603997,0.9067369148902665,0.7042215237138308,43.98725226898882,0.12053154408931732,0.294416243654342,91,0.05535367503762245,0.05070497477155542,"[{'threshold': 0.1, 'micro_f1': 0.432662793942315}, {'threshold': 0.2, 'micro_f1': 0.43219976625523787}, {'threshold': 0.3, 'micro_f1': 0.4309065722641219}, {'threshold': 0.4, 'micro_f1': 0.431881493134074}, {'threshold': 0.5, 'micro_f1': 0.42821036595921474}, {'threshold': 0.6, 'micro_f1': 0.41999632420510935}, {'threshold': 0.7, 'micro_f1': 0.41270088937431737}, {'threshold': 0.8, 'micro_f1': 0.4090601757944557}, {'threshold': 0.9, 'micro_f1': 0.3915029909095191}]"
