epoch=1 loss=1.192677 validation_macro_fmax=0.212934 validation_micro_fmax=0.250873
epoch=2 loss=1.145481 validation_macro_fmax=0.227070 validation_micro_fmax=0.249400
epoch=3 loss=1.122418 validation_macro_fmax=0.225290 validation_micro_fmax=0.194099
epoch=4 loss=1.123005 validation_macro_fmax=0.223847 validation_micro_fmax=0.195540
epoch=5 loss=1.124639 validation_macro_fmax=0.217259 validation_micro_fmax=0.261928
epoch=6 loss=1.123075 validation_macro_fmax=0.223027 validation_micro_fmax=0.183710
epoch=7 loss=1.122700 validation_macro_fmax=0.215147 validation_micro_fmax=0.186994
epoch=8 loss=1.123398 validation_macro_fmax=0.226586 validation_micro_fmax=0.208489
epoch=9 loss=1.127783 validation_macro_fmax=0.223245 validation_micro_fmax=0.172715
epoch=10 loss=1.129796 validation_macro_fmax=0.227312 validation_micro_fmax=0.301229
epoch=11 loss=1.127084 validation_macro_fmax=0.227516 validation_micro_fmax=0.261369
epoch=12 loss=1.131831 validation_macro_fmax=0.227717 validation_micro_fmax=0.359651
epoch=13 loss=1.129449 validation_macro_fmax=0.228014 validation_micro_fmax=0.196220
epoch=14 loss=1.135682 validation_macro_fmax=0.225625 validation_micro_fmax=0.233939
epoch=15 loss=1.133218 validation_macro_fmax=0.227344 validation_micro_fmax=0.184986
epoch=16 loss=1.132918 validation_macro_fmax=0.224883 validation_micro_fmax=0.175920
epoch=17 loss=1.135192 validation_macro_fmax=0.225842 validation_micro_fmax=0.202367
epoch=18 loss=1.132408 validation_macro_fmax=0.222662 validation_micro_fmax=0.170780
epoch=19 loss=1.140574 validation_macro_fmax=0.224329 validation_micro_fmax=0.168162
epoch=20 loss=1.135117 validation_macro_fmax=0.220534 validation_micro_fmax=0.158492
epoch=21 loss=1.137452 validation_macro_fmax=0.213662 validation_micro_fmax=0.233925
{"input_modality": "struct_only", "model": "GCN", "ontology": "cellular_component", "split_label": "nominal_30_identity_80_coverage", "test": {"Macro_AUPRC": 0.10285057386990258, "Macro_AUROC": 0.5322683063620705, "Macro_Fmax": 0.16381196823203892, "Micro_AUPRC": 0.04709508035672662, "Micro_AUROC": 0.6378358492236303, "Micro_Fmax": 0.11728234601762291, "Smin": 29.926645105255062}}
