epoch=1 loss=1.002940 validation_macro_fmax=0.232768 validation_micro_fmax=0.101695
epoch=2 loss=0.787650 validation_macro_fmax=0.269517 validation_micro_fmax=0.141862
epoch=3 loss=0.718795 validation_macro_fmax=0.288440 validation_micro_fmax=0.181017
epoch=4 loss=0.645104 validation_macro_fmax=0.316510 validation_micro_fmax=0.215774
epoch=5 loss=0.540989 validation_macro_fmax=0.324564 validation_micro_fmax=0.236130
epoch=6 loss=0.417447 validation_macro_fmax=0.330574 validation_micro_fmax=0.260407
epoch=7 loss=0.304536 validation_macro_fmax=0.321703 validation_micro_fmax=0.280044
epoch=8 loss=0.216199 validation_macro_fmax=0.327188 validation_micro_fmax=0.271875
epoch=9 loss=0.154987 validation_macro_fmax=0.335714 validation_micro_fmax=0.304376
epoch=10 loss=0.113758 validation_macro_fmax=0.353467 validation_micro_fmax=0.336744
epoch=11 loss=0.086017 validation_macro_fmax=0.346083 validation_micro_fmax=0.329937
epoch=12 loss=0.066187 validation_macro_fmax=0.347067 validation_micro_fmax=0.355863
epoch=13 loss=0.053108 validation_macro_fmax=0.346057 validation_micro_fmax=0.357829
epoch=14 loss=0.042661 validation_macro_fmax=0.340842 validation_micro_fmax=0.375910
epoch=15 loss=0.035377 validation_macro_fmax=0.339834 validation_micro_fmax=0.378921
epoch=16 loss=0.029728 validation_macro_fmax=0.336027 validation_micro_fmax=0.393276
epoch=17 loss=0.025094 validation_macro_fmax=0.344199 validation_micro_fmax=0.388787
epoch=18 loss=0.021896 validation_macro_fmax=0.344883 validation_micro_fmax=0.389610
{"input_modality": "full", "model": "Hybrid_JK", "ontology": "molecular_function", "split_label": "nominal_30_identity_80_coverage", "test": {"Macro_AUPRC": 0.2799029539557549, "Macro_AUROC": 0.7206817253600398, "Macro_Fmax": 0.3371923146637082, "Micro_AUPRC": 0.331001598675626, "Micro_AUROC": 0.8366616587141928, "Micro_Fmax": 0.4276436710703204, "Smin": 17.805952659925737}}
