epoch=1 loss=1.085074 validation_macro_fmax=0.190376 validation_micro_fmax=0.072266
epoch=2 loss=0.865604 validation_macro_fmax=0.200704 validation_micro_fmax=0.110290
epoch=3 loss=0.775371 validation_macro_fmax=0.210617 validation_micro_fmax=0.117629
epoch=4 loss=0.708921 validation_macro_fmax=0.240113 validation_micro_fmax=0.151255
epoch=5 loss=0.632531 validation_macro_fmax=0.248297 validation_micro_fmax=0.197060
epoch=6 loss=0.532529 validation_macro_fmax=0.287149 validation_micro_fmax=0.232167
epoch=7 loss=0.431002 validation_macro_fmax=0.272445 validation_micro_fmax=0.214910
epoch=8 loss=0.336495 validation_macro_fmax=0.288330 validation_micro_fmax=0.279151
epoch=9 loss=0.259935 validation_macro_fmax=0.305198 validation_micro_fmax=0.292461
epoch=10 loss=0.201424 validation_macro_fmax=0.287228 validation_micro_fmax=0.299630
epoch=11 loss=0.160160 validation_macro_fmax=0.287967 validation_micro_fmax=0.283040
epoch=12 loss=0.140266 validation_macro_fmax=0.289226 validation_micro_fmax=0.283529
epoch=13 loss=0.120772 validation_macro_fmax=0.313208 validation_micro_fmax=0.307017
epoch=14 loss=0.097399 validation_macro_fmax=0.308506 validation_micro_fmax=0.326229
epoch=15 loss=0.084341 validation_macro_fmax=0.275704 validation_micro_fmax=0.312661
epoch=16 loss=0.075133 validation_macro_fmax=0.292628 validation_micro_fmax=0.290640
epoch=17 loss=0.074746 validation_macro_fmax=0.274813 validation_micro_fmax=0.319355
epoch=18 loss=0.070328 validation_macro_fmax=0.290103 validation_micro_fmax=0.320392
epoch=19 loss=0.064262 validation_macro_fmax=0.290288 validation_micro_fmax=0.328030
epoch=20 loss=0.069023 validation_macro_fmax=0.281886 validation_micro_fmax=0.325771
epoch=21 loss=0.057178 validation_macro_fmax=0.292569 validation_micro_fmax=0.327456
{"input_modality": "full", "model": "Hybrid", "ontology": "biological_process", "split_label": "nominal_30_identity_80_coverage", "test": {"Macro_AUPRC": 0.16353519603459515, "Macro_AUROC": 0.6377800593730263, "Macro_Fmax": 0.2290396650619515, "Micro_AUPRC": 0.13318132122980453, "Micro_AUROC": 0.7356488996050863, "Micro_Fmax": 0.2297342876989476, "Smin": 90.79396094692706}}
