Epoch,Train_Loss,Valid_Micro_Fmax,Valid_Macro_Fmax,Valid_Smin,Valid_Macro_AUROC
1,0.0077044604043996255,0.20035123659873053,0.12593808567191395,30.159968081990737,0.641716760741667
2,0.001594375494203736,0.461940703418021,0.5083547053546019,22.271713561585468,0.89654508789752
3,0.0007739408574617068,0.6080671732511836,0.6886963628080826,17.24801456732879,0.9531381102485261
4,0.00046409389131070434,0.7200250770100022,0.7656203116117617,12.632261648735373,0.9524303529334788
5,0.0003338909843769306,0.7446251731247715,0.8123961710753739,11.535610715064061,0.9614115965466526
6,0.00022943141705471508,0.7710343396120231,0.8290821269102353,10.494020679071921,0.9683591717506154
7,0.0001673585635943716,0.7891293406647112,0.8503363325761447,9.627969342849967,0.9696922693069895
8,0.00018079031638272607,0.777397085094605,0.8494017356744439,10.269904671518978,0.9714314969713774
9,0.00013176762893288348,0.7796937788808822,0.8456342048657775,10.109782035113055,0.9721375098075679
10,0.00015297571148350863,0.8122191365317503,0.8711377905575922,8.618676208936774,0.9683841743826047
11,0.00011005339621884429,0.8067141917696911,0.8634829457717436,8.891029126080657,0.9638310533363519
12,0.00010904249750234004,0.7998366429640675,0.8571145756496227,9.285341505635248,0.9722554910733794
13,0.00010789320341667935,0.8216116464541527,0.8710720072159029,8.425091166559517,0.9668187448923342
14,7.133336149369823e-05,0.8315549936289729,0.8825876795349286,7.838319855022262,0.9719529589913264
15,6.34313896501702e-05,0.827052736060676,0.8803662095040331,8.196855846530795,0.9736778344865552
16,5.688462637539415e-05,0.8259863175264316,0.8808145463304704,8.077948740274449,0.9751133276494767
17,6.500216880387696e-05,0.8196721310977304,0.8658674522954968,8.296156961143767,0.9695088376489661
18,6.678511625826783e-05,0.8082821293455633,0.8693895685643063,9.027979561870433,0.9730703595498327
19,9.397694897321145e-05,0.8289105077685882,0.864144839554821,7.93320191690744,0.9699454566108072
20,9.344422910578233e-05,0.7942971485243324,0.86647601575706,9.421508321290014,0.9766384599238452
21,5.1096802175939396e-05,0.8350116188502782,0.8839672506947198,7.753012564788161,0.9756403930205197
22,2.651035906434731e-05,0.8456526165251521,0.8883011479129848,7.120573481119637,0.9771940359770394
23,2.2068624454696234e-05,0.8443285004266513,0.889832031863964,7.0619446993988575,0.9784184493837214
24,2.0485150943212767e-05,0.8386393144140166,0.8910136757949741,7.28924947913832,0.9779680274129234
25,1.7668265206539984e-05,0.8516480690610903,0.8930635898325993,6.9213382025813885,0.9771827224137279
26,1.5871870683129206e-05,0.8511964608388615,0.8902348855003546,6.765075336194471,0.9782013333799581
27,1.6073070843454306e-05,0.8443206129158494,0.8923954658859246,7.085596849891458,0.9769718822312984
28,2.011434908315838e-05,0.8407441479619948,0.8856563265080702,7.274092628818408,0.9764846354194889
29,2.2974457963261173e-05,0.8370626525131707,0.8888195086891196,7.340358115391931,0.9766218398557456
30,2.1792131399584837e-05,0.8572013511631663,0.8838286231146217,6.590527993376682,0.9736590386416955
31,2.254810947117388e-05,0.8382974441038181,0.8833438771593387,7.318001922714522,0.9777254235909097
32,1.3397744321813635e-05,0.8473858234674595,0.8849059635476879,7.017230498841542,0.977549351040225
33,9.76008851623607e-06,0.8479253322012911,0.8880867506081871,6.9617981668729065,0.9788864181076062
34,9.32812397645682e-06,0.8471971066408367,0.8891688466678767,6.903664024517585,0.9769978758478013
35,8.90663407051391e-06,0.8425476559264304,0.8875668920168904,7.036008909747532,0.9780055822631207
36,9.058982777124667e-06,0.849849389851597,0.8875183435682581,6.866590426351458,0.9783222108587731
37,8.55756633700874e-06,0.8411710700307139,0.887129996102943,7.0366198781370946,0.9773624842904931
38,7.759022732147912e-06,0.8454719451500288,0.8884396915765491,6.93822804516846,0.9783038521730689
39,6.160133601140788e-06,0.8471629198534631,0.8903443649418652,6.895920452571722,0.9786364519939437
40,6.152607733480818e-06,0.8465202982103687,0.889859054200791,6.895652508326185,0.9788596520423006
