split_threshold,ontology,seed,test_micro_f1_at_validation_threshold,test_micro_fmax,test_macro_fmax,test_micro_aupr,test_macro_aupr,test_micro_auroc,test_macro_auroc,test_smin,validation_threshold,test_micro_fmax_diagnostic,test_micro_fmax_threshold_diagnostic,test_examples,test_classes,learning_rate,weight_decay,dropout,hidden_dim,batch_size,loss,checkpoint
30,molecular_function,1103,0.4947105212540872,0.5115212405311008,0.3608883315695565,0.3749085254948229,0.2987286037204698,0.8399020283107953,0.6991369850525326,16.640860852432024,0.6737324595451355,0.5115212405804775,0.8617907166481018,754,1052,0.0003377348785134,8.266805481657407e-06,0.4,512,16,BCE,/home/ganeshiny.sridharan/dgg/deep-green-GO/arc_tuning_cafa/five_seed_hybrid/molecular_function/seed_1103/best_checkpoint.pt
30,molecular_function,2207,0.4795841005090435,0.4911917097951316,0.3262131436527939,0.3442916942479347,0.2595166334556869,0.8589184372905443,0.6812092957199556,16.799736250337812,0.7474039793014526,0.4911917098440653,0.8508263230323792,754,1052,0.0003377348785134,8.266805481657407e-06,0.4,512,16,BCE,/home/ganeshiny.sridharan/dgg/deep-green-GO/arc_tuning_cafa/five_seed_hybrid/molecular_function/seed_2207/best_checkpoint.pt
30,molecular_function,3301,0.4341637010676156,0.4596564932175513,0.3268920601924449,0.3594352123910175,0.2565082857974523,0.8712111036459452,0.7095633933056269,16.691408076342114,0.4995316565036773,0.4596564932653029,0.945715606212616,754,1052,0.0003377348785134,8.266805481657407e-06,0.4,512,16,BCE,/home/ganeshiny.sridharan/dgg/deep-green-GO/arc_tuning_cafa/five_seed_hybrid/molecular_function/seed_3301/best_checkpoint.pt
30,molecular_function,4409,0.4243838685586257,0.4358735095404618,0.3214204111677874,0.3041091937536391,0.2557412389939409,0.8391024313315417,0.6547816770431846,19.404116093523264,0.5732699036598206,0.4358735095899613,0.7614131569862366,754,1052,0.0003377348785134,8.266805481657407e-06,0.4,512,16,BCE,/home/ganeshiny.sridharan/dgg/deep-green-GO/arc_tuning_cafa/five_seed_hybrid/molecular_function/seed_4409/best_checkpoint.pt
30,molecular_function,5501,0.4399457574583494,0.4574349855025793,0.3187299911565042,0.3156570018349008,0.2580743529524852,0.855591122417522,0.6923076800342869,18.957484051942835,0.7083045244216919,0.4574349855518473,0.8772765398025513,754,1052,0.0003377348785134,8.266805481657407e-06,0.4,512,16,BCE,/home/ganeshiny.sridharan/dgg/deep-green-GO/arc_tuning_cafa/five_seed_hybrid/molecular_function/seed_5501/best_checkpoint.pt
30,biological_process,1103,0.2199146882674824,0.2423152386683837,0.2253772382958608,0.1419947221801023,0.1551340062020784,0.7622054295904799,0.6092915574962904,89.68799539251307,0.7679049372673035,0.2423152387176191,0.6050571799278259,754,2193,5.462490060476474e-05,1.0333998491320168e-07,0.2,512,32,Focal,/home/ganeshiny.sridharan/dgg/deep-green-GO/arc_tuning_cafa/five_seed_hybrid/biological_process/seed_1103/best_checkpoint.pt
30,biological_process,2207,0.1866051695973863,0.2019999256034653,0.2178595917033847,0.116847325818991,0.1510632606305025,0.733106760447253,0.6147612604207942,90.55147752859736,0.7729377746582031,0.2019999256528229,0.5953265428543091,754,2193,5.462490060476474e-05,1.0333998491320168e-07,0.2,512,32,Focal,/home/ganeshiny.sridharan/dgg/deep-green-GO/arc_tuning_cafa/five_seed_hybrid/biological_process/seed_2207/best_checkpoint.pt
30,biological_process,3301,0.1996399469395489,0.2365391755906873,0.214480939822583,0.1415285917998142,0.1523011196355617,0.7470534476238281,0.6314065910260214,90.54678879068616,0.8221274018287659,0.2365391756400509,0.6264666318893433,754,2193,5.462490060476474e-05,1.0333998491320168e-07,0.2,512,32,Focal,/home/ganeshiny.sridharan/dgg/deep-green-GO/arc_tuning_cafa/five_seed_hybrid/biological_process/seed_3301/best_checkpoint.pt
30,biological_process,4409,0.2347815364379958,0.239837122447528,0.2090503632136467,0.1350270257299467,0.1447732262617096,0.738826390406674,0.590854567859712,89.66766912680852,0.5963726043701172,0.2398371224969558,0.4453011155128479,754,2193,5.462490060476474e-05,1.0333998491320168e-07,0.2,512,32,Focal,/home/ganeshiny.sridharan/dgg/deep-green-GO/arc_tuning_cafa/five_seed_hybrid/biological_process/seed_4409/best_checkpoint.pt
30,biological_process,5501,0.208657471483797,0.2158077472439553,0.2106355351523052,0.1408860857366859,0.1505487117082705,0.7432228271755099,0.590950829817382,89.7054937722949,0.8153229355812073,0.215807747293394,0.6219434142112732,754,2193,5.462490060476474e-05,1.0333998491320168e-07,0.2,512,32,Focal,/home/ganeshiny.sridharan/dgg/deep-green-GO/arc_tuning_cafa/five_seed_hybrid/biological_process/seed_5501/best_checkpoint.pt
30,cellular_component,1103,0.340274250888776,0.3415890015475669,0.2953581669372974,0.2234789134991648,0.206272654476099,0.8301862100204875,0.6541290403973217,28.60340892977917,0.5690880417823792,0.3415890015957238,0.5729861855506897,754,318,0.0027705153087256,4.596019533802375e-07,0.2,128,64,Focal,/home/ganeshiny.sridharan/dgg/deep-green-GO/arc_tuning_cafa/five_seed_hybrid/cellular_component/seed_1103/best_checkpoint.pt
30,cellular_component,2207,0.3363313346657783,0.3484267849456058,0.281152923624447,0.2635029546387716,0.2093655430053878,0.7961352239826418,0.6374354974829789,27.79167348889866,0.5983397960662842,0.3484267849934657,0.5464803576469421,754,318,0.0027705153087256,4.596019533802375e-07,0.2,128,64,Focal,/home/ganeshiny.sridharan/dgg/deep-green-GO/arc_tuning_cafa/five_seed_hybrid/cellular_component/seed_2207/best_checkpoint.pt
30,cellular_component,3301,0.3384041331802526,0.3402280906703248,0.2957501901835522,0.2192985235208035,0.1952888942380262,0.8042076454090861,0.6815778175259539,29.23994064562536,0.5176342129707336,0.3402280907154713,0.486788660287857,754,318,0.0027705153087256,4.596019533802375e-07,0.2,128,64,Focal,/home/ganeshiny.sridharan/dgg/deep-green-GO/arc_tuning_cafa/five_seed_hybrid/cellular_component/seed_3301/best_checkpoint.pt
30,cellular_component,4409,0.3027567462628616,0.3049715686297773,0.2424035005536791,0.2295847326757556,0.1607278513422521,0.7985006020516618,0.6254973163320884,28.44735570159755,0.5149612426757812,0.3049715686781074,0.5518092513084412,754,318,0.0027705153087256,4.596019533802375e-07,0.2,128,64,Focal,/home/ganeshiny.sridharan/dgg/deep-green-GO/arc_tuning_cafa/five_seed_hybrid/cellular_component/seed_4409/best_checkpoint.pt
30,cellular_component,5501,0.3238220181480267,0.3278405921535731,0.268692302786913,0.2654835920167842,0.1761080540194727,0.7918272908874364,0.639737835012628,28.07478838787734,0.5818897485733032,0.3278405922015134,0.5498586297035217,754,318,0.0027705153087256,4.596019533802375e-07,0.2,128,64,Focal,/home/ganeshiny.sridharan/dgg/deep-green-GO/arc_tuning_cafa/five_seed_hybrid/cellular_component/seed_5501/best_checkpoint.pt
40,molecular_function,1103,0.3923136732200377,0.4040257062695361,0.3463546070248997,0.2873618486122516,0.2676497202703672,0.6859853286714103,0.6789182916404793,18.78452074991661,0.5132066607475281,0.4040257063169697,0.6870423555374146,754,1052,0.000409393371325,0.0044598838290818,0.0,256,32,BCE,/home/ganeshiny.sridharan/dgg/deep-green-GO/arc_tuning_threshold_40/five_seed_hybrid/molecular_function/seed_1103/best_checkpoint.pt
40,molecular_function,2207,0.3307541524811719,0.3356712436524776,0.3356023305659745,0.2733578332224111,0.2527181483934573,0.7490513403766355,0.6864222105357318,19.37389582647264,0.6985572576522827,0.3356712437019599,0.6590459942817688,754,1052,0.000409393371325,0.0044598838290818,0.0,256,32,BCE,/home/ganeshiny.sridharan/dgg/deep-green-GO/arc_tuning_threshold_40/five_seed_hybrid/molecular_function/seed_2207/best_checkpoint.pt
40,molecular_function,3301,0.2964505771066562,0.3072332298395216,0.311159115897428,0.233468158581462,0.2490104799624819,0.714026551970298,0.6633637854240614,21.31014239151072,0.6072185635566711,0.3072332298873186,0.914705216884613,754,1052,0.000409393371325,0.0044598838290818,0.0,256,32,BCE,/home/ganeshiny.sridharan/dgg/deep-green-GO/arc_tuning_threshold_40/five_seed_hybrid/molecular_function/seed_3301/best_checkpoint.pt
40,molecular_function,4409,0.3424657534246574,0.3488047622979788,0.3553592122699231,0.2582442288115402,0.2766901184258252,0.7467956028544268,0.7322125757155348,20.80167554917812,0.5009278059005737,0.3488047623471915,0.4475266635417938,754,1052,0.000409393371325,0.0044598838290818,0.0,256,32,BCE,/home/ganeshiny.sridharan/dgg/deep-green-GO/arc_tuning_threshold_40/five_seed_hybrid/molecular_function/seed_4409/best_checkpoint.pt
40,molecular_function,5501,0.330800284967941,0.3320807890542475,0.2776508663557734,0.2134354306596906,0.2186163518406051,0.702329442529299,0.6071576325692002,21.280673138715446,0.4906913936138153,0.332080789102379,0.4591277837753296,754,1052,0.000409393371325,0.0044598838290818,0.0,256,32,BCE,/home/ganeshiny.sridharan/dgg/deep-green-GO/arc_tuning_threshold_40/five_seed_hybrid/molecular_function/seed_5501/best_checkpoint.pt
40,biological_process,1103,0.1546860782529572,0.2060016703952676,0.2279855547579322,0.117007140315185,0.1454576678019931,0.7872373872016075,0.6251805909138458,101.50740042852766,0.94816392660141,0.2060016704445564,0.5285422801971436,754,2193,0.0001529140641918,0.0014692529747935,0.4,128,16,BCE,/home/ganeshiny.sridharan/dgg/deep-green-GO/arc_tuning_threshold_40/five_seed_hybrid/biological_process/seed_1103/best_checkpoint.pt
40,biological_process,2207,0.2044486512068149,0.223941829775658,0.2652867279161749,0.1273238034478997,0.1830449310786742,0.7859883359582724,0.6415308296060418,99.55684667661778,0.834758460521698,0.2239418298250572,0.5385709404945374,754,2193,0.0001529140641918,0.0014692529747935,0.4,128,16,BCE,/home/ganeshiny.sridharan/dgg/deep-green-GO/arc_tuning_threshold_40/five_seed_hybrid/biological_process/seed_2207/best_checkpoint.pt
40,biological_process,3301,0.1658769995778017,0.2209182356992959,0.2442269611546754,0.1208698050275593,0.1603615123167117,0.7904873309307262,0.5993380024415945,101.80964418041604,0.8920093178749084,0.2209182357487907,0.5635850429534912,754,2193,0.0001529140641918,0.0014692529747935,0.4,128,16,BCE,/home/ganeshiny.sridharan/dgg/deep-green-GO/arc_tuning_threshold_40/five_seed_hybrid/biological_process/seed_3301/best_checkpoint.pt
40,biological_process,4409,0.0473463604699214,0.1600167264375114,0.2461460863718794,0.0771054205895254,0.1447482594550763,0.7575400648138474,0.7047666703755062,105.71092855283884,0.9693933725357056,0.1600167264865934,0.8608821630477905,754,2193,0.0001529140641918,0.0014692529747935,0.4,128,16,BCE,/home/ganeshiny.sridharan/dgg/deep-green-GO/arc_tuning_threshold_40/five_seed_hybrid/biological_process/seed_4409/best_checkpoint.pt
40,biological_process,5501,0.0992677824267782,0.1855266480934762,0.2480798176386967,0.0851404138273998,0.158942828600123,0.7371501488024721,0.6349868529213335,102.20025533141876,0.9765893816947936,0.1855266481429706,0.7397730350494385,754,2193,0.0001529140641918,0.0014692529747935,0.4,128,16,BCE,/home/ganeshiny.sridharan/dgg/deep-green-GO/arc_tuning_threshold_40/five_seed_hybrid/biological_process/seed_5501/best_checkpoint.pt
40,cellular_component,1103,0.3469241773962804,0.3589534764871442,0.2332669132815479,0.2454456797363308,0.1543347360864179,0.8493839377684517,0.5597587439975787,27.58412365247688,0.5046288371086121,0.3589534765341883,0.2276495397090912,754,318,0.0028231475116277,0.0002942360686643,0.4,512,64,BCE,/home/ganeshiny.sridharan/dgg/deep-green-GO/arc_tuning_threshold_40/five_seed_hybrid/cellular_component/seed_1103/best_checkpoint.pt
40,cellular_component,2207,0.3919018569417443,0.3933350826054712,0.2274864100582984,0.281362067539565,0.1504871592761509,0.8032236101437954,0.5477041173796805,26.98281802546001,0.5850222110748291,0.393335082654971,0.5391368865966797,754,318,0.0028231475116277,0.0002942360686643,0.4,512,64,BCE,/home/ganeshiny.sridharan/dgg/deep-green-GO/arc_tuning_threshold_40/five_seed_hybrid/cellular_component/seed_2207/best_checkpoint.pt
40,cellular_component,3301,0.3662314671387475,0.3723069232219838,0.2134830872278963,0.3008367840516213,0.1423210013170382,0.7947273108227287,0.4796528000107085,27.18917045735545,0.2801419198513031,0.3723069232687107,0.1575084924697876,754,318,0.0028231475116277,0.0002942360686643,0.4,512,64,BCE,/home/ganeshiny.sridharan/dgg/deep-green-GO/arc_tuning_threshold_40/five_seed_hybrid/cellular_component/seed_3301/best_checkpoint.pt
40,cellular_component,4409,0.3712731800013105,0.3811244072663742,0.2270921449289822,0.284998188476821,0.1517087916327079,0.8199278970030115,0.5672205669754831,27.32024047242689,0.6661809086799622,0.3811244073149306,0.3626095056533813,754,318,0.0028231475116277,0.0002942360686643,0.4,512,64,BCE,/home/ganeshiny.sridharan/dgg/deep-green-GO/arc_tuning_threshold_40/five_seed_hybrid/cellular_component/seed_4409/best_checkpoint.pt
40,cellular_component,5501,0.4242046869693196,0.4291814077823687,0.213417768571743,0.3039761501338167,0.1427153351467859,0.8045978119208952,0.5081001329756466,27.03492191261688,0.3387311100959778,0.429181407831636,0.5353227853775024,754,318,0.0028231475116277,0.0002942360686643,0.4,512,64,BCE,/home/ganeshiny.sridharan/dgg/deep-green-GO/arc_tuning_threshold_40/five_seed_hybrid/cellular_component/seed_5501/best_checkpoint.pt
50,molecular_function,1103,0.2655352480417754,0.267740788956658,0.41482139124738,0.1778490093568958,0.3247806053790905,0.7919327530464921,0.7319385545091822,27.444527188597856,0.811559796333313,0.2677407890055481,0.7410290241241455,754,1052,0.0003377348785134,8.266805481657407e-06,0.4,512,16,BCE,/home/ganeshiny.sridharan/dgg/deep-green-GO/arc_tuning_threshold_50/five_seed_hybrid/molecular_function/seed_1103/best_checkpoint.pt
50,molecular_function,2207,0.2405276452427729,0.2585115998296509,0.355539773011557,0.1670109513032271,0.2765858660910331,0.7834413138779059,0.698082582972573,27.70584064680125,0.6307724118232727,0.2585115998789835,0.1837018132209777,754,1052,0.0003377348785134,8.266805481657407e-06,0.4,512,16,BCE,/home/ganeshiny.sridharan/dgg/deep-green-GO/arc_tuning_threshold_50/five_seed_hybrid/molecular_function/seed_2207/best_checkpoint.pt
50,molecular_function,3301,0.2300456100342075,0.2490430621516983,0.3406175013344259,0.1504044740807422,0.2753192274110577,0.7637166616342863,0.7171170567379885,27.70855563973851,0.7585304379463196,0.2490430622004643,0.5505901575088501,754,1052,0.0003377348785134,8.266805481657407e-06,0.4,512,16,BCE,/home/ganeshiny.sridharan/dgg/deep-green-GO/arc_tuning_threshold_50/five_seed_hybrid/molecular_function/seed_3301/best_checkpoint.pt
50,molecular_function,4409,0.2090634441087613,0.2707823309771422,0.3617919304358405,0.164940274877778,0.2990071034911433,0.7949575713190542,0.7035579382626526,28.143071135868382,0.9219571948051452,0.2707823310266421,0.2971851229667663,754,1052,0.0003377348785134,8.266805481657407e-06,0.4,512,16,BCE,/home/ganeshiny.sridharan/dgg/deep-green-GO/arc_tuning_threshold_50/five_seed_hybrid/molecular_function/seed_4409/best_checkpoint.pt
50,molecular_function,5501,0.2616243025418475,0.2632675572498046,0.3110695613069701,0.1689019507768366,0.2527609625207178,0.8050593777487232,0.6857090321194665,27.6134425138446,0.6350492238998413,0.2632675572981997,0.6161009073257446,754,1052,0.0003377348785134,8.266805481657407e-06,0.4,512,16,BCE,/home/ganeshiny.sridharan/dgg/deep-green-GO/arc_tuning_threshold_50/five_seed_hybrid/molecular_function/seed_5501/best_checkpoint.pt
50,biological_process,1103,0.060659881139422,0.0715663383928268,0.17330445657615,0.0221087530912919,0.0988874705949112,0.711468570833014,0.6580387814387654,59.55295794871828,0.8633838295936584,0.0715663384422979,0.7482902407646179,754,2193,1.961154488169495e-05,0.0004610239017883,0.0,512,64,BCE,/home/ganeshiny.sridharan/dgg/deep-green-GO/arc_tuning_threshold_50/five_seed_hybrid/biological_process/seed_1103/best_checkpoint.pt
