split_threshold,ontology,metric,n,mean,sd,minimum,maximum,sem,ci95_half_width,ci95_low,ci95_high,relative_sd_percent
30,biological_process,test_macro_aupr,5,0.15076406488762456,0.0037909420635277246,0.1447732262617096,0.1551340062020784,0.0016953608305622636,0.004706321665640844,0.14605774322198373,0.1554703865532654,2.514486503367623
30,biological_process,test_macro_auroc,5,0.60745296132404,0.017163879641062783,0.590854567859712,0.6314065910260214,0.007675920327008214,0.0213083548277748,0.5861446064962652,0.6287613161518149,2.82554876408066
30,biological_process,test_macro_fmax,5,0.21548073363755607,0.006508167368234873,0.2090503632136467,0.2253772382958608,0.0029105409288638162,0.008079661618525953,0.20740107201903013,0.223560395256082,3.020301285581184
30,biological_process,test_micro_aupr,5,0.13525675025310804,0.01066988005338659,0.116847325818991,0.1419947221801023,0.0047717154222283,0.01324628201210576,0.12201046824100228,0.1485030322652138,7.888611868479671
30,biological_process,test_micro_auroc,5,0.7448829710487489,0.01098744648880656,0.733106760447253,0.7622054295904799,0.004913735449622569,0.013640529608152251,0.7312424414405967,0.7585235006569011,1.475056742582921
30,biological_process,test_micro_f1_at_validation_threshold,5,0.20991976254524208,0.01849894978926219,0.1866051695973863,0.2347815364379958,0.008272981848229133,0.022965797610684072,0.18695396493455801,0.23288556015592615,8.81239077491586
30,biological_process,test_micro_fmax,5,0.22729984191080393,0.01760798707179809,0.2019999256034653,0.2423152386683837,0.007874531207895599,0.02185969863311818,0.20544014327768576,0.24915954054392211,7.746590109247742
30,biological_process,test_smin,5,90.03188492218001,0.4723734770767022,89.66766912680852,90.55147752859736,0.21125184110228892,0.586435110899954,89.44544981128006,90.61832003307997,0.5246735392522361
30,cellular_component,test_macro_aupr,5,0.18955259941624755,0.020716176985682754,0.1607278513422521,0.2093655430053878,0.009264555994780665,0.025718407441511125,0.16383419197473642,0.21527100685775868,10.928985964571828
30,cellular_component,test_macro_auroc,5,0.6476755013501941,0.021510179712745454,0.6254973163320884,0.6815778175259539,0.009619644809187146,0.026704133990303518,0.6209713673598907,0.6743796353404976,3.3211353012278026
30,cellular_component,test_macro_fmax,5,0.2766714168171777,0.02219929318824697,0.2424035005536791,0.2957501901835522,0.009927825724273651,0.027559644210583652,0.24911177260659406,0.3042310610277614,8.023703150700271
30,cellular_component,test_micro_aupr,5,0.24026974327025594,0.022424393819527752,0.2192985235208035,0.2654835920167842,0.01002849378693804,0.02783909875254,0.21243064451771593,0.26810884202279595,9.333007774642995
30,cellular_component,test_micro_auroc,5,0.8041713944702626,0.015214193687699135,0.7918272908874364,0.8301862100204875,0.006803994261708694,0.01888788807050333,0.7852835063997593,0.823059282540766,1.8919093357854746
30,cellular_component,test_micro_f1_at_validation_threshold,5,0.328317696629139,0.015672325092965553,0.3027567462628616,0.340274250888776,0.007008876854669337,0.01945664214856208,0.30886105448057694,0.3477743387777011,4.773524319241522
30,cellular_component,test_micro_fmax,5,0.3326112075893696,0.017142480806382344,0.3049715686297773,0.3484267849456058,0.007666350477211266,0.021281788924738473,0.3113294186646311,0.35389299651410805,5.1539095542282105
30,cellular_component,test_smin,5,28.431433430755618,0.552268385226798,27.79167348889866,29.23994064562536,0.24698193023823217,0.6856218383413325,27.745811592414285,29.11705526909695,1.942457057509395
30,molecular_function,test_macro_aupr,5,0.26571382298400703,0.018513081549414695,0.2557412389939409,0.2987286037204698,0.008279301763497678,0.02298334169546955,0.24273048128853747,0.2886971646794766,6.967300888418203
30,molecular_function,test_macro_auroc,5,0.6873998062311173,0.020948376763323215,0.6547816770431846,0.7095633933056269,0.009368398892213546,0.026006675324784803,0.6613931309063324,0.7134064815559021,3.0474807489660476
30,molecular_function,test_macro_fmax,5,0.3308287875478174,0.0171411536795065,0.3187299911565042,0.3608883315695565,0.0076657569680294345,0.02128014134324971,0.3095486462045677,0.35210892889106715,5.181276335279302
30,molecular_function,test_micro_aupr,5,0.33968032554446304,0.029559143451378292,0.3041091937536391,0.3749085254948229,0.013219250822789921,0.036696640284064816,0.3029836852603982,0.37637696582852787,8.702047551326048
30,molecular_function,test_micro_auroc,5,0.8529450245992697,0.01358372442613164,0.8391024313315417,0.8712111036459452,0.006074826240890933,0.01686371764471323,0.8360813069545564,0.869808742243983,1.5925674028655645
30,molecular_function,test_micro_f1_at_validation_threshold,5,0.4545575897695443,0.030734564980604666,0.4243838685586257,0.4947105212540872,0.013744915311103306,0.038155884903622775,0.41640170486592154,0.49271347467316706,6.761423782668936
30,molecular_function,test_micro_fmax,5,0.47113558771736497,0.029983909246991795,0.4358735095404618,0.5115212405311008,0.013409211861491636,0.037223972127500775,0.4339116155898642,0.5083595598448657,6.364178387003784
30,molecular_function,test_smin,5,17.69872106491561,1.3633394518658557,16.640860852432024,19.404116093523264,0.6097039381558711,1.692538132320698,16.00618293259491,19.39125919723631,7.7030393714064465
40,biological_process,test_macro_aupr,5,0.15851103985051568,0.015534857214646288,0.1447482594550763,0.1830449310786742,0.006947399350540428,0.019285980597100228,0.13922505925341544,0.17779702044761592,9.800489120061595
40,biological_process,test_macro_auroc,5,0.6411605892516643,0.03901433957050829,0.5993380024415945,0.7047666703755062,0.017447743075383295,0.04843493477726402,0.5927256544744003,0.6895955240289283,6.0849559727375295
40,biological_process,test_macro_fmax,5,0.2463450295678717,0.013260783663341734,0.2279855547579322,0.2652867279161749,0.00593040274123016,0.016462798009654923,0.22988223155821677,0.26280782757752663,5.3830124710059115
40,biological_process,test_micro_aupr,5,0.10548931664151384,0.02272491969236437,0.0771054205895254,0.1273238034478997,0.010162893043070068,0.028212191087562507,0.07727712555395133,0.13370150772907635,21.542389709083864
40,biological_process,test_micro_auroc,5,0.7716806535413852,0.023413270061173684,0.7371501488024721,0.7904873309307262,0.010470732686469003,0.02906675393763795,0.7426138996037472,0.8007474074790231,3.0340620765501716
40,biological_process,test_micro_f1_at_validation_threshold,5,0.13432517438685468,0.061485203264450526,0.0473463604699214,0.2044486512068149,0.02749701882194067,0.0763317242497073,0.05799345013714738,0.21065689863656198,45.773402897191836
40,biological_process,test_micro_fmax,5,0.19928102208024182,0.02670374168187246,0.1600167264375114,0.223941829775658,0.011942276330852276,0.03315175909444592,0.1661292629857959,0.23243278117468774,13.400042514394585
40,biological_process,test_smin,5,102.15701503396382,2.232471285089724,99.55684667661778,105.71092855283884,0.9983915102553871,2.771534832468954,99.38548020149486,104.92854986643277,2.1853333169019296
40,cellular_component,test_macro_aupr,5,0.14831340469182014,0.005471690188414284,0.1423210013170382,0.1543347360864179,0.002447014242622594,0.00679291153752032,0.14152049315429982,0.15510631622934046,3.6892755579199923
40,cellular_component,test_macro_auroc,5,0.5324872722678194,0.0373091856258553,0.4796528000107085,0.5672205669754831,0.016685175048914095,0.04631804593578553,0.4861692263320339,0.5788053182036049,7.006587306201433
40,cellular_component,test_macro_fmax,5,0.22294926481369357,0.009009175201186279,0.213417768571743,0.2332669132815479,0.0040290256342115725,0.011184575160571324,0.21176468965312223,0.2341338399742649,4.040908234756796
40,cellular_component,test_micro_aupr,5,0.283323773987631,0.0233164541802851,0.2454456797363308,0.3039761501338167,0.010427435308275324,0.028946560415772298,0.25437721357185866,0.3122703344034033,8.229614427380536
40,cellular_component,test_micro_auroc,5,0.8143721135317765,0.021577991910791863,0.7947273108227287,0.8493839377684517,0.009649971346094237,0.026788320456757598,0.7875837930750189,0.8411604339885341,2.649647692037517
40,cellular_component,test_micro_f1_at_validation_threshold,5,0.38010707368948043,0.029391287612981664,0.3469241773962804,0.4242046869693196,0.013144183409774905,0.03648825314553514,0.3436188205439453,0.41659532683501554,7.732370599604307
40,cellular_component,test_micro_fmax,5,0.3869802594726684,0.026722738735072655,0.3589534764871442,0.4291814077823687,0.011950772071317839,0.03317534326997832,0.35380491620269006,0.42015560274264674,6.905452689366451
40,cellular_component,test_smin,5,27.22225490406722,0.24190308587297,26.98281802546001,27.58412365247688,0.10818234879578599,0.30031420025710187,26.92194070381012,27.522569104324322,0.8886225139153618
40,molecular_function,test_macro_aupr,5,0.25293696377854735,0.022215125018838412,0.2186163518406051,0.2766901184258252,0.009934905934155797,0.02757929887321649,0.22535766490533085,0.2805162626517638,8.782870121857046
40,molecular_function,test_macro_auroc,5,0.6736148991770016,0.04513173636625287,0.6071576325692002,0.7322125757155348,0.02018352609150815,0.05602946843002662,0.6175854307469749,0.7296443676070282,6.699931432839921
40,molecular_function,test_macro_fmax,5,0.3252252264227997,0.03131839443186849,0.2776508663557734,0.3553592122699231,0.01400601177916177,0.03888068869895307,0.28634453772384666,0.3641059151217528,9.629755593175885
40,molecular_function,test_micro_aupr,5,0.2531734999774711,0.029872133395786902,0.2134354306596906,0.2873618486122516,0.013359224181184228,0.037085206326967414,0.21608829365050367,0.2902587063044385,11.799075890030002
40,molecular_function,test_micro_auroc,5,0.719637653280414,0.0276868957386261,0.6859853286714103,0.7490513403766355,0.012381956191503441,0.03437231038761355,0.6852653428928004,0.7540099636680275,3.8473383948737916
40,molecular_function,test_micro_f1_at_validation_threshold,5,0.33855688824009283,0.03463762468516711,0.2964505771066562,0.3923136732200377,0.015490416675031682,0.04300139668988794,0.2955554915502049,0.3815582849299808,10.230961439072331
40,molecular_function,test_micro_fmax,5,0.3455631462227523,0.03597632966002563,0.3072332298395216,0.4040257062695361,0.016089103740151843,0.04466335198266151,0.3008997942400908,0.39022649820541383,10.410927800974196
40,molecular_function,test_smin,5,20.310181531158708,1.160561695100977,18.78452074991661,21.31014239151072,0.5190189684656338,1.4407966564605992,18.86938487469811,21.750978187619307,5.714186716256131
50,biological_process,test_macro_aupr,5,0.10703331185543057,0.012325189485701799,0.0960233260946036,0.1260361078618612,0.005511992305118978,0.015301290639010283,0.09173202121642028,0.12233460249444085,11.515283673880315
50,biological_process,test_macro_auroc,5,0.644407389352784,0.037780193633784764,0.5886292228395567,0.6932762539845236,0.016895816233649504,0.04690278586461102,0.5975046034881729,0.691310175217395,5.862780945409335
50,biological_process,test_macro_fmax,5,0.18396925994891195,0.020187805221216482,0.1625896423502511,0.2164562332632252,0.009028260958233046,0.025062452420054934,0.158906807528857,0.2090317123689669,10.973466560023459
50,biological_process,test_micro_aupr,5,0.029757046007660902,0.011747497212706823,0.0138639055814695,0.0426443124732372,0.005253640466620352,0.014584105935338097,0.015172940072322805,0.044341151942999,39.47803558754605
50,biological_process,test_micro_auroc,5,0.7150336438589521,0.07951610909744562,0.5806532271898153,0.779957262250667,0.03556068504963557,0.09871646169778833,0.6163171821611637,0.8137501055567404,11.12061086640715
50,biological_process,test_micro_f1_at_validation_threshold,5,0.06950382573797557,0.02250087801414735,0.0342644832805834,0.0879135628481309,0.010062698558612788,0.0279340511987091,0.041569774539266476,0.09743787693668468,32.37358199385174
50,biological_process,test_micro_fmax,5,0.08587205297541578,0.02299306520668407,0.053287772392447,0.1080290592956539,0.010282811362646166,0.028545084342705754,0.05732696863271003,0.11441713731812153,26.775958428834503
50,biological_process,test_smin,5,59.457104622962596,0.1664247119587319,59.22838467265213,59.66431951445041,0.07442739381510934,0.2066104452307435,59.25049417773185,59.66371506819334,0.27990719193961217
50,cellular_component,test_macro_aupr,5,0.2594266908653402,0.0061668830523925145,0.2531369523262967,0.2688003379217215,0.002757913942888212,0.007655969105457675,0.2517707217598825,0.2670826599707979,2.3771197295938755
50,cellular_component,test_macro_auroc,5,0.5879548184907742,0.027420092057520242,0.5613599014880496,0.6269979950236848,0.012262637957983467,0.0340410829713621,0.5539137355194121,0.6219959014621363,4.6636393129501155
50,cellular_component,test_macro_fmax,5,0.3450633915589785,0.013250159916860453,0.3320618213579863,0.3673903301553833,0.005925651657368586,0.016449609000855195,0.32861378255812335,0.3615130005598337,3.839920501852404
50,cellular_component,test_micro_aupr,5,0.4108736846422669,0.027662360711283123,0.3801837301519811,0.4510195207287397,0.012370983793709699,0.034341851011338125,0.3765318336309288,0.44521553565360505,6.732570555198188
50,cellular_component,test_micro_auroc,5,0.7798305671835271,0.00948742725904955,0.7663912700183132,0.7880971488291635,0.00424290645656386,0.011778308323421274,0.7680522588601058,0.7916088755069484,1.2166011000716208
50,cellular_component,test_micro_f1_at_validation_threshold,5,0.45913159804774295,0.013912310202438638,0.4389052213158875,0.4761344043063207,0.006221774267343331,0.017271645366145085,0.4418599526815979,0.476403243413888,3.0301356433742908
50,cellular_component,test_micro_fmax,5,0.464580822880579,0.016556799202587624,0.4396705442315365,0.48583367768478,0.007404425701360047,0.02055468574697549,0.4440261371336035,0.4851355086275545,3.5638146017153978
50,cellular_component,test_smin,5,36.664241233955195,1.0341193735184804,35.194309904556846,38.05774201233302,0.4624722432073636,1.283822947143641,35.380418286811555,37.948064181098836,2.8205121358430567
50,molecular_function,test_macro_aupr,5,0.28569075297860846,0.027295514096178173,0.2527609625207178,0.3247806053790905,0.012206924999971626,0.03388642379992123,0.2518043291786872,0.3195771767785297,9.554216862672474
50,molecular_function,test_macro_auroc,5,0.7072810329203726,0.01780845915057041,0.6857090321194665,0.7319385545091822,0.007964185047040719,0.022108577690585034,0.6851724552297875,0.7293896106109576,2.5178759674975377
50,molecular_function,test_macro_fmax,5,0.3567680314672347,0.03790161790742927,0.3110695613069701,0.41482139124738,0.016950118819647034,0.047053529843340165,0.3097145016238945,0.40382156131057484,10.623602611353963
50,molecular_function,test_micro_aupr,5,0.16582133207909594,0.009925046580389344,0.1504044740807422,0.1778490093568958,0.00443861576672048,0.012321597368416053,0.15349973471067987,0.178142929447512,5.985385870410899
50,molecular_function,test_micro_auroc,5,0.7878215355252923,0.015533830885022396,0.7637166616342863,0.8050593777487232,0.006946940361979159,0.019284706444854145,0.7685368290804382,0.8071062419701465,1.9717448920287475
50,molecular_function,test_micro_f1_at_validation_threshold,5,0.2413592499938729,0.023274773520660503,0.2090634441087613,0.2655352480417754,0.010408795150621798,0.02889481533812611,0.2124644346557468,0.270254065331999,9.643207592520838
50,molecular_function,test_micro_fmax,5,0.2618690678329908,0.008539001033638919,0.2490430621516983,0.2707823309771422,0.003818757354231518,0.010600870415346693,0.2512681974176441,0.2724699382483375,3.2607902507541433
50,molecular_function,test_smin,5,27.723087424970117,0.2581243660440605,27.444527188597856,28.143071135868382,0.11543672582471155,0.3204523508893993,27.402635074080717,28.043539775859518,0.9310808788618851
70,biological_process,test_macro_aupr,5,0.10033771228030579,0.009886734600758444,0.0905472480204068,0.1110933358027151,0.0044214821285590246,0.012274034388879852,0.08806367789142594,0.11261174666918564,9.853458262172284
70,biological_process,test_macro_auroc,5,0.5438174829766783,0.043948671772459605,0.4936112652278507,0.609245781861526,0.019654443520809167,0.05456073521376625,0.48925674776291206,0.5983782181904446,8.081511379865724
70,biological_process,test_macro_fmax,5,0.16521254904372026,0.011735321841883823,0.1542239687031127,0.1799309764840199,0.005248195475258053,0.014568990639316354,0.1506435584044039,0.17978153968303662,7.103166139503301
70,biological_process,test_micro_aupr,5,0.03701730795551992,0.00944734525977219,0.0269746970662638,0.0505707804252519,0.0042249812415522045,0.011728547926548918,0.025288760028971,0.04874585588206884,25.521427087902072
70,biological_process,test_micro_auroc,5,0.7744164555545436,0.018200365819399853,0.7565660712449438,0.8047388492203947,0.008139451037508346,0.022595116080123167,0.7518213394744204,0.7970115716346668,2.3502039101644536
70,biological_process,test_micro_f1_at_validation_threshold,5,0.09810454098339738,0.025902838280023512,0.0651966789165645,0.1322072776561359,0.01158410144086326,0.032157465599836406,0.06594707538356098,0.13026200658323378,26.40330204939968
70,biological_process,test_micro_fmax,5,0.10487635822354276,0.022522476191421198,0.0801836313486088,0.1358136002928609,0.010072357557127673,0.027960864578586417,0.07691549364495634,0.13283722280212917,21.47526532473105
70,biological_process,test_smin,5,53.64625140766284,0.12997252623861927,53.47180087710208,53.77760010712659,0.05812548077538555,0.16135633463247026,53.484895073030366,53.80760774229531,0.24227699574187578
70,cellular_component,test_macro_aupr,5,0.31990547977324474,0.04998781668659681,0.2599428163318014,0.3747831950430565,0.02235523123160575,0.062058121898937564,0.2578473578743072,0.3819636016721823,15.625808198730812
70,cellular_component,test_macro_auroc,5,0.6987352858749097,0.025553385703259084,0.6699210458273707,0.7398670167330978,0.011427821497551716,0.03172363247720356,0.6670116533977062,0.7304589183521133,3.6570910643596366
70,cellular_component,test_macro_fmax,5,0.3952532966270873,0.04811968116088269,0.3372815530994483,0.4484325626644899,0.021519775626269937,0.05973889713852534,0.335514399488562,0.4549921937656126,12.174390845443735
70,cellular_component,test_micro_aupr,5,0.5063330969082285,0.04465529047977487,0.4618695257095832,0.5775219474097606,0.019970453013555163,0.055437977565629126,0.45089511934259935,0.5617710744738575,8.819350493271926
70,cellular_component,test_micro_auroc,5,0.9106732354222175,0.018221415196953982,0.8906788887743634,0.9329469249831854,0.008148864605327363,0.022621248144388758,0.8880519872778287,0.9332944835666062,2.0008730341686114
70,cellular_component,test_micro_f1_at_validation_threshold,5,0.46110282224495647,0.054150267569731673,0.3771838207368021,0.5132827647198884,0.02421673585714447,0.06722565873943304,0.39387716350552343,0.5283284809843896,11.743642623155505
70,cellular_component,test_micro_fmax,5,0.5259584922095859,0.02593659140362467,0.50114395529003,0.5686913201262901,0.011599196296628289,0.03219936891944013,0.49375912329014576,0.558157861129026,4.93130005272153
70,cellular_component,test_smin,5,37.437782867112205,1.9691524239539757,34.369872558942404,39.800612050558136,0.880631735603915,2.444633698036468,34.993149169075735,39.882416565148674,5.259799788207565
70,molecular_function,test_macro_aupr,5,0.40005031178446304,0.015005452369839476,0.3773331397541874,0.4135709660481039,0.006710642306419276,0.01862874304261991,0.38142156874184313,0.41867905482708295,3.750891307372367
70,molecular_function,test_macro_auroc,5,0.7791375137587447,0.03238998473535916,0.7488710551476808,0.8319485505778594,0.014485241531688722,0.04021103049196789,0.7389264832667768,0.8193485442507127,4.157158930661953
70,molecular_function,test_macro_fmax,5,0.464825434295689,0.009337784891774618,0.449942414448061,0.4735781367992657,0.004175984355455712,0.011592532570745056,0.45323290172494396,0.47641796686643406,2.00887993702913
70,molecular_function,test_micro_aupr,5,0.4499590381451052,0.024646966593410067,0.4239389816908022,0.4842951961202546,0.011022458548406265,0.03059834493037579,0.4193606932147294,0.48055738307548096,5.47760229353628
70,molecular_function,test_micro_auroc,5,0.8862724375822275,0.012628330233101616,0.8738696537671411,0.9030602045062156,0.005647560968706195,0.015677629249128397,0.8705948083330991,0.9019500668313559,1.4248813003315328
70,molecular_function,test_micro_f1_at_validation_threshold,5,0.4866336289068043,0.028996301258182137,0.4492492492492491,0.5179921037789057,0.012967540141871587,0.03599789143383552,0.45063573747296876,0.5226315203406398,5.958548595032517
70,molecular_function,test_micro_fmax,5,0.5070441922737189,0.020947693416005973,0.4866227219352969,0.5378202520852957,0.009368093290002827,0.026005826973047843,0.48103836530067107,0.5330500192467668,4.131334849152109
70,molecular_function,test_smin,5,20.073026561110975,0.9389308861638207,19.180549451446893,21.15080019918654,0.41990265752728395,1.1656497772957402,18.907376783815234,21.238676338406716,4.677575069735044
90,biological_process,test_macro_aupr,5,0.24857207624852257,0.022417326544810507,0.2114190109380935,0.2706114011422157,0.010025333205601355,0.02783032497874936,0.22074175126977322,0.27640240122727194,9.018441203507365
90,biological_process,test_macro_auroc,5,0.7136595197742001,0.005503060181814868,0.7063491971186106,0.719310573463178,0.002461043330162079,0.006831856284529931,0.7068276634896701,0.72049137605873,0.7711044313618938
90,biological_process,test_macro_fmax,5,0.3235237368693545,0.024305572493520656,0.2818050422133671,0.3434473372448019,0.01086978246551225,0.030174516124262005,0.29334922074509245,0.3536982529936165,7.512763276264871
90,biological_process,test_micro_aupr,5,0.0838724718938095,0.010932817609003002,0.0694164488662194,0.0974096153725255,0.004889304671867486,0.01357270976910414,0.07029976212470536,0.09744518166291365,13.035048761702154
90,biological_process,test_micro_auroc,5,0.7402688216271798,0.01912139109508528,0.7223923663977255,0.7719533370739898,0.008551346062593966,0.02373853666976085,0.7165302849574189,0.7640073582969407,2.5830334246760094
90,biological_process,test_micro_f1_at_validation_threshold,5,0.16154312980990151,0.017131541940266996,0.1475945401655851,0.1878690284487386,0.0076614584675651284,0.021268208705960794,0.14027492110394071,0.18281133851586231,10.604933778630397
90,biological_process,test_micro_fmax,5,0.1781867857734542,0.01777220823106087,0.1587242721591126,0.1932570740019142,0.007947973142986679,0.02206357344493102,0.1561232123285232,0.20025035921838522,9.973920430697014
