Epoch,Train_Loss,Valid_Micro_Fmax,Valid_Macro_Fmax,Valid_Smin,Valid_Macro_AUROC
1,0.40757098543473863,0.3649783387214394,0.3009117167108109,25.18001933155283,0.7780181380428233
2,0.05887151266408913,0.5448405668243185,0.5538272434270697,19.910274336060795,0.8936001983733366
3,0.033238571090970385,0.631556992337382,0.6811842354051085,16.38293741782227,0.9466945875151777
4,0.022928771188496507,0.709225874817866,0.7405060758228079,13.480776074845751,0.9594164863706629
5,0.015923778383782314,0.7530299808137264,0.7978050336471498,11.553368725308538,0.970834692880178
6,0.012352388260872208,0.7748152906668758,0.8232468495896694,10.670602474036992,0.9701748869047145
7,0.0099009007161192,0.7907823553393503,0.8379049489605795,10.104225545417139,0.9632591401435561
8,0.007665292795218305,0.7970340973864483,0.8538083340658585,9.518455973621816,0.9716145222455997
9,0.006800850836136066,0.8106823124279579,0.858377054183287,8.976409678426355,0.9729268142755717
10,0.005705779560618611,0.8130157734800042,0.8500952782503145,8.853058623123486,0.973920825705761
11,0.004866439507114089,0.8137611295009634,0.8706304394801555,8.934901897178419,0.9674123387404611
12,0.004580321203207796,0.8349685014476701,0.8848511827097446,7.64493345564485,0.9748225240359112
13,0.003885941535451683,0.8333416421056762,0.8817333403506683,7.871261003022703,0.9757376451595701
14,0.003522451312561975,0.8373208181922331,0.8834060161709189,7.705457547692667,0.9731681932552719
15,0.0030514449714544338,0.8461260889238474,0.8857226309765144,7.325456857302036,0.9727978613774745
16,0.0029616445097430995,0.8363134770115432,0.8781410944744339,7.558168325422147,0.9723002235913553
17,0.0027456757187596047,0.8472222221723978,0.8821680757696314,7.21018868249377,0.9684710488958679
18,0.002625048017597563,0.8425821064054463,0.8927187921183976,7.450213298310433,0.973189390953681
19,0.002424110307018203,0.8425078823092291,0.8827312914154181,7.432119319071981,0.9697157487938967
20,0.001988853918871335,0.8452085914413191,0.8835697245929934,7.051818484425081,0.970731872747181
21,0.0020559079532795205,0.8469298918946357,0.8865692617713886,6.884911490927028,0.9722937381915803
22,0.0018901679010627902,0.850205338759198,0.891696815670092,7.089706016549527,0.9744608680713089
23,0.002129769408296148,0.8565658605044281,0.889501719235475,6.32682541084773,0.9697158497523083
24,0.0024635319951670383,0.8382042162276999,0.8883974861440483,7.738033597629913,0.9711957274016656
25,0.0013751979768988284,0.8581836579313675,0.8911615816216073,6.336427255363046,0.9758057074629498
26,0.0008538712050997428,0.8564180618476142,0.8918470950084741,6.478810611575929,0.9753547791252872
27,0.0007901595751851711,0.8542445821521081,0.8899396431983349,6.630910283651457,0.9722855529033273
28,0.0008281700573671666,0.8573490745493546,0.8895147091180932,6.336964706866042,0.9707056461392398
29,0.0008095984611021907,0.8591438874744637,0.8876604528187486,6.330967246898352,0.9724063184426934
30,0.0006151707613536734,0.8650440185934104,0.8891945043005193,6.038954280404678,0.9739279722025367
31,0.000540838486513144,0.863969838955623,0.8922895303814403,6.04672011770495,0.972870963705388
32,0.0004794603682786591,0.8646230491087695,0.8946026517782517,6.029386291774744,0.9739429683468731
33,0.0004749978249738407,0.8660027861841356,0.8970293566414719,6.033240782198427,0.9757488469119673
34,0.0004627943412776604,0.863622464530695,0.8943841639936209,6.135986468398404,0.9742675611571682
35,0.0004471718177914538,0.859587471302296,0.8900493714594792,6.322128935228299,0.9742763040707357
36,0.00043856076826482275,0.8595979744782989,0.8895161245497842,6.290698933245829,0.9750667465230547
37,0.00042443167080424024,0.8624493926626392,0.8972600240672617,6.069742334074461,0.9729086737261602
38,0.0004540316959735146,0.860764587475215,0.8932625306776623,6.1115949366342175,0.9733488061005923
39,0.0004675676496826917,0.8624789508099543,0.8932084153183552,6.126251866468677,0.9741810195229186
40,0.0004271670120978981,0.8670811282448811,0.8935305692599519,5.96324774740218,0.9731431054491827
41,0.0004090698244552132,0.8613153594272566,0.8917220804260422,6.1139213906654915,0.9732110662222094
42,0.00045425059854308755,0.8638497652084105,0.8943901021352185,6.101371722009415,0.9722550987520988
43,0.0004669856013333403,0.8652986590317796,0.8978866502313523,5.998715138964206,0.9752185658804273
44,0.00037556946009491244,0.8634247283516617,0.8917210689243984,6.060913074766424,0.9743326859193143
45,0.0004103100212815294,0.8669788503592758,0.8952867271880723,6.021933110094793,0.9753339159579254
46,0.00041948161522275987,0.8616048494313139,0.8948928603118174,6.264301607708848,0.975345790048902
47,0.00038039921909608173,0.8599740596130091,0.8962544651091028,6.213480031509855,0.9754547236880757
48,0.00036944857644132846,0.8608629825390247,0.8952977769126708,6.072660522429604,0.975375458354266
49,0.00037279650582864053,0.8601473202447467,0.8955944881031461,6.209171574280581,0.975000688437582
50,0.0003083272341827256,0.8593074693150367,0.8925371066295029,6.242421693088739,0.9750680220963754
51,0.0002600603106510525,0.8629932602269682,0.8957719273368313,6.150976779569365,0.9740474873556172
52,0.00023937885560362769,0.8648648648150334,0.8972537188381997,6.085517331791557,0.9734958558355227
53,0.0002558122346418977,0.8662676709851759,0.897546424865443,5.966216903350385,0.9743819596259335
54,0.00024504368979991247,0.8628011432739359,0.8966769726064278,6.05857896087635,0.973428228736262
55,0.00023816012603324803,0.8616345759435937,0.8943250730131073,6.095550370410654,0.9739932618184604
56,0.00021688233183085324,0.8638068327269465,0.896681828616579,6.004798920732483,0.9747067726151961
57,0.00022532192861374103,0.8655667582758131,0.8975721213779245,5.993723146112745,0.9737287454184353
58,0.00020722723090801638,0.860904349537412,0.8962184939523005,6.10867193209557,0.9737148634308296
