epoch,train_loss,validation_micro_fmax,validation_macro_fmax,validation_micro_aupr,validation_macro_aupr,validation_micro_auroc,validation_macro_auroc,validation_smin,validation_micro_fmax_threshold,validation_rare_term_micro_fmax_train_count_1_to_10,rare_term_count,brier_score,expected_calibration_error_10_bins,threshold_sensitivity
1,0.9767630707363867,0.08326476879992045,0.18903827674914914,0.019810309529515662,0.11752992990223181,0.5993356376023399,0.6183659526466458,18.900679751921988,0.8978403806686401,0.012499999999548829,481,0.26226183772087097,0.489692789301808,"[{'threshold': 0.1, 'micro_f1': 0.00935278713056491}, {'threshold': 0.2, 'micro_f1': 0.009287057147898544}, {'threshold': 0.3, 'micro_f1': 0.009384940601214316}, {'threshold': 0.4, 'micro_f1': 0.01012783914608415}, {'threshold': 0.5, 'micro_f1': 0.011748389976407574}, {'threshold': 0.6, 'micro_f1': 0.01567535027561704}, {'threshold': 0.7, 'micro_f1': 0.02743943247222594}, {'threshold': 0.8, 'micro_f1': 0.055088240145142665}, {'threshold': 0.9, 'micro_f1': 0.081673640167364}]"
2,0.7744147927754754,0.10689085722815136,0.2232130606183981,0.037638432214721323,0.14613985718641037,0.6045258572794479,0.646073216257218,18.317304053187655,0.9018427133560181,0.028915662650212802,481,0.2357458621263504,0.4583736332283982,"[{'threshold': 0.1, 'micro_f1': 0.009276060175016209}, {'threshold': 0.2, 'micro_f1': 0.009143109995163464}, {'threshold': 0.3, 'micro_f1': 0.00900335972017673}, {'threshold': 0.4, 'micro_f1': 0.010046031411262313}, {'threshold': 0.5, 'micro_f1': 0.013488267947316885}, {'threshold': 0.6, 'micro_f1': 0.021003880690026344}, {'threshold': 0.7, 'micro_f1': 0.03794686032812253}, {'threshold': 0.8, 'micro_f1': 0.06476209338020499}, {'threshold': 0.9, 'micro_f1': 0.1065368157001623}]"
3,0.6407650821405001,0.11906699213402677,0.20790276197855587,0.040404821040849054,0.14120517397108368,0.6154352172380384,0.6459510713627572,18.55952550976011,0.8911722302436829,0.0350734094615006,481,0.1733381301164627,0.3725153718783757,"[{'threshold': 0.1, 'micro_f1': 0.00935064935064935}, {'threshold': 0.2, 'micro_f1': 0.009055351285697536}, {'threshold': 0.3, 'micro_f1': 0.009797493961177479}, {'threshold': 0.4, 'micro_f1': 0.012789885916102826}, {'threshold': 0.5, 'micro_f1': 0.018511752527097795}, {'threshold': 0.6, 'micro_f1': 0.03140971621813884}, {'threshold': 0.7, 'micro_f1': 0.05570162625377349}, {'threshold': 0.8, 'micro_f1': 0.08784773060029283}, {'threshold': 0.9, 'micro_f1': 0.11520940484937545}]"
4,0.45902511430039644,0.15386282370739596,0.2232913990658672,0.07437728179446398,0.16173169920274105,0.6389591201928962,0.6348931401449944,18.32843998676242,0.8290408849716187,0.0572916666661773,481,0.10394473373889923,0.2657680498722711,"[{'threshold': 0.1, 'micro_f1': 0.008772617848114249}, {'threshold': 0.2, 'micro_f1': 0.01022829950003012}, {'threshold': 0.3, 'micro_f1': 0.014369517777043452}, {'threshold': 0.4, 'micro_f1': 0.023494132512711378}, {'threshold': 0.5, 'micro_f1': 0.038969320516756806}, {'threshold': 0.6, 'micro_f1': 0.06176922718591326}, {'threshold': 0.7, 'micro_f1': 0.09854497354497355}, {'threshold': 0.8, 'micro_f1': 0.1423678607794131}, {'threshold': 0.9, 'micro_f1': 0.14741691345837443}]"
5,0.2911345860686163,0.16338439095507118,0.22626747398502622,0.08061018946906585,0.15710959012402223,0.6622584219949158,0.6434585579061992,17.704054531743346,0.9130309820175171,0.17391304347787206,481,0.057417310774326324,0.17609227016740675,"[{'threshold': 0.1, 'micro_f1': 0.01003632065129315}, {'threshold': 0.2, 'micro_f1': 0.015990281525009534}, {'threshold': 0.3, 'micro_f1': 0.027934383297566652}, {'threshold': 0.4, 'micro_f1': 0.04535597352345046}, {'threshold': 0.5, 'micro_f1': 0.06745711402623612}, {'threshold': 0.6, 'micro_f1': 0.10028788725132128}, {'threshold': 0.7, 'micro_f1': 0.1291378942122873}, {'threshold': 0.8, 'micro_f1': 0.15321664014548758}, {'threshold': 0.9, 'micro_f1': 0.1572842033435687}]"
6,0.18038776123634384,0.1986150456400563,0.22839408347251478,0.11588308356592054,0.17024769479703802,0.6842160244075116,0.643470082936656,16.77920128390602,0.8556250333786011,0.2397476340689759,481,0.029090462252497673,0.10363312496891403,"[{'threshold': 0.1, 'micro_f1': 0.01625221605807926}, {'threshold': 0.2, 'micro_f1': 0.033937483582873657}, {'threshold': 0.3, 'micro_f1': 0.06135922330097087}, {'threshold': 0.4, 'micro_f1': 0.08939511092606911}, {'threshold': 0.5, 'micro_f1': 0.12465235033967081}, {'threshold': 0.6, 'micro_f1': 0.1568065506653019}, {'threshold': 0.7, 'micro_f1': 0.1826466311197285}, {'threshold': 0.8, 'micro_f1': 0.19136369602310013}, {'threshold': 0.9, 'micro_f1': 0.19803812696650006}]"
7,0.11939539434264762,0.20948379351691393,0.2542060585004458,0.12598547944560579,0.188343181488345,0.7046607747299275,0.6473139140371382,17.049231214735922,0.8598477840423584,0.18978102189749374,481,0.021306276321411133,0.07333396867960906,"[{'threshold': 0.1, 'micro_f1': 0.025763784868439644}, {'threshold': 0.2, 'micro_f1': 0.055515814573251984}, {'threshold': 0.3, 'micro_f1': 0.08518115224707978}, {'threshold': 0.4, 'micro_f1': 0.11586385047865067}, {'threshold': 0.5, 'micro_f1': 0.1441837994524666}, {'threshold': 0.6, 'micro_f1': 0.17448786866192065}, {'threshold': 0.7, 'micro_f1': 0.1935673661502255}, {'threshold': 0.8, 'micro_f1': 0.20232213438735175}, {'threshold': 0.9, 'micro_f1': 0.19989515988118117}]"
8,0.08110098400466954,0.21029082773999302,0.23082367220758418,0.11457587127182176,0.16696568345912338,0.7074447755789413,0.6509492349332195,17.25816392465472,0.8437204360961914,0.2105263157892789,481,0.01675274968147278,0.05337444370242851,"[{'threshold': 0.1, 'micro_f1': 0.03832578733906163}, {'threshold': 0.2, 'micro_f1': 0.07580294515771771}, {'threshold': 0.3, 'micro_f1': 0.10685226938535437}, {'threshold': 0.4, 'micro_f1': 0.13183885341540724}, {'threshold': 0.5, 'micro_f1': 0.1572487544051525}, {'threshold': 0.6, 'micro_f1': 0.18726114649681527}, {'threshold': 0.7, 'micro_f1': 0.19942845478669113}, {'threshold': 0.8, 'micro_f1': 0.20010080645161288}, {'threshold': 0.9, 'micro_f1': 0.20281509916826612}]"
9,0.05916532880036205,0.21995866548518553,0.24957571805845302,0.11187121794745677,0.1836823000943811,0.7198141497187602,0.67124499087855,17.4977484214821,0.8337528705596924,0.19117647058792606,481,0.012487978674471378,0.03486989272871813,"[{'threshold': 0.1, 'micro_f1': 0.06153031341516605}, {'threshold': 0.2, 'micro_f1': 0.10244023287501548}, {'threshold': 0.3, 'micro_f1': 0.13116516597231556}, {'threshold': 0.4, 'micro_f1': 0.15076145116716647}, {'threshold': 0.5, 'micro_f1': 0.1679456906729634}, {'threshold': 0.6, 'micro_f1': 0.19343923301062127}, {'threshold': 0.7, 'micro_f1': 0.2111226731414036}, {'threshold': 0.8, 'micro_f1': 0.21600664635834946}, {'threshold': 0.9, 'micro_f1': 0.21678321678321674}]"
10,0.046937784743285305,0.23238629124679394,0.24925096531612845,0.13697093575953095,0.17782376654507623,0.7347488511447646,0.6622415728184756,17.091678218481704,0.7323772311210632,0.21862348178118177,481,0.010305416770279408,0.026246008378808056,"[{'threshold': 0.1, 'micro_f1': 0.0797271725342594}, {'threshold': 0.2, 'micro_f1': 0.131682081831008}, {'threshold': 0.3, 'micro_f1': 0.17462467547127214}, {'threshold': 0.4, 'micro_f1': 0.2036957455951869}, {'threshold': 0.5, 'micro_f1': 0.21600069342116665}, {'threshold': 0.6, 'micro_f1': 0.22944433053106414}, {'threshold': 0.7, 'micro_f1': 0.23059278039357717}, {'threshold': 0.8, 'micro_f1': 0.22566875355719973}, {'threshold': 0.9, 'micro_f1': 0.20929443690637717}]"
