ontology,model,input_modality,checkpoint,split_label,bin_type,bin,examples,Micro_Fmax,Macro_Fmax,Macro_AUROC,Micro_AUROC,Macro_AUPRC,Micro_AUPRC,Smin
molecular_function,GAT,full,/home/ganeshiny.sridharan/dgg/deep-green-GO/arc_tuning_cafa/ablations/nominal_30_identity_80_coverage/molecular_function/GAT/full/seed_2207/best_checkpoint.pt,nominal_30_identity_80_coverage,homology,no_hit,612,0.023138011042320585,0.13485574575806603,0.6055375237142963,0.6838630405295039,0.05902171741162706,0.008731782164300348,17.361350802035112
molecular_function,GAT,full,/home/ganeshiny.sridharan/dgg/deep-green-GO/arc_tuning_cafa/ablations/nominal_30_identity_80_coverage/molecular_function/GAT/full/seed_2207/best_checkpoint.pt,nominal_30_identity_80_coverage,ic,2-4_bits,41,0.07067137804187841,0.5953455921349087,0.4055468341182627,0.7745175339211022,0.5074982373465313,0.011698279741014077,7.396688507824409
molecular_function,GAT,full,/home/ganeshiny.sridharan/dgg/deep-green-GO/arc_tuning_cafa/ablations/nominal_30_identity_80_coverage/molecular_function/GAT/full/seed_2207/best_checkpoint.pt,nominal_30_identity_80_coverage,ic,4-6_bits,43,0.039525691685044294,0.4730795358605886,0.5218327896984302,0.5909439609128586,0.26151414015331287,0.010628958556517113,12.804429422364464
molecular_function,GAT,full,/home/ganeshiny.sridharan/dgg/deep-green-GO/arc_tuning_cafa/ablations/nominal_30_identity_80_coverage/molecular_function/GAT/full/seed_2207/best_checkpoint.pt,nominal_30_identity_80_coverage,ic,<2_bits,100,0.09470752084649559,0.42141684257254697,0.18689064558629775,0.734154288854221,0.3246846007381186,0.012907931207506508,1.707334041595459
molecular_function,GAT,full,/home/ganeshiny.sridharan/dgg/deep-green-GO/arc_tuning_cafa/ablations/nominal_30_identity_80_coverage/molecular_function/GAT/full/seed_2207/best_checkpoint.pt,nominal_30_identity_80_coverage,ic,>=6_bits,351,0.08934121514877659,0.2807696620049045,0.5777192471595423,0.7280337512224309,0.16314023098228791,0.0332521837378043,54.54572173594353
molecular_function,GAT,full,/home/ganeshiny.sridharan/dgg/deep-green-GO/arc_tuning_cafa/ablations/nominal_30_identity_80_coverage/molecular_function/GAT/full/seed_2207/best_checkpoint.pt,nominal_30_identity_80_coverage,ic,no_positive_terms,219,0.0,0.0,nan,nan,0.0,0.5,0.0
molecular_function,GAT,full,/home/ganeshiny.sridharan/dgg/deep-green-GO/arc_tuning_cafa/ablations/nominal_30_identity_80_coverage/molecular_function/GAT/full/seed_3301/best_checkpoint.pt,nominal_30_identity_80_coverage,homology,30-40%,80,0.07468605414699463,0.606570682350932,0.47906607640964316,0.6972089046062853,0.5102964768471588,0.03199169335901961,97.45315222760955
molecular_function,GAT,full,/home/ganeshiny.sridharan/dgg/deep-green-GO/arc_tuning_cafa/ablations/nominal_30_identity_80_coverage/molecular_function/GAT/full/seed_3301/best_checkpoint.pt,nominal_30_identity_80_coverage,homology,40-60%,5,0.31999999995968,0.9629629629131687,0.0,0.7209574641904035,0.8597222222222222,0.08047405769414122,1.707334041595459
molecular_function,GAT,full,/home/ganeshiny.sridharan/dgg/deep-green-GO/arc_tuning_cafa/ablations/nominal_30_identity_80_coverage/molecular_function/GAT/full/seed_3301/best_checkpoint.pt,nominal_30_identity_80_coverage,homology,<30%,26,0.10879999995694897,0.7221631896829644,0.4607843137254901,0.8525685683022657,0.48578900465981134,0.03505602746792075,31.824695981465855
molecular_function,GAT,full,/home/ganeshiny.sridharan/dgg/deep-green-GO/arc_tuning_cafa/ablations/nominal_30_identity_80_coverage/molecular_function/GAT/full/seed_3301/best_checkpoint.pt,nominal_30_identity_80_coverage,homology,>=60%,31,0.23264540333422126,0.99999999995,1.0,0.6471153367708645,0.9999999999999999,0.044670360652251814,30.164499698146695
