evaluation_split,ontology,model,input_modality,bin_type,bin,metric,examples_audit,audit_status,seed_replicates,mean,sd,median,minimum,maximum
test,biological_process,Hybrid,full,homology,<30%,Smin,26,ok,5,71.8759380139471,0.3194603387887878,71.70937287152955,71.63857625539487,72.37342360555844
test,biological_process,Hybrid,full,homology,>=60%,Smin,31,ok,5,111.10640560226412,36.67785881739877,108.96166595284264,68.85412161001759,158.86331491202097
test,biological_process,Hybrid,full,homology,no_hit,Smin,612,ok,5,89.37841788094802,0.6218215397468408,89.27692428153905,88.62311543640556,90.27417956809435
test,biological_process,Hybrid,full,ic,2-4_bits,Smin,10,ok,5,10.758772625674412,0.11132873057447246,10.808560347557068,10.559621738143788,10.808560347557068
test,biological_process,Hybrid,full,ic,4-6_bits,Smin,16,ok,5,26.81702655139416,2.2642070819299978,27.468148525512813,23.50390994462753,29.06587691605091
test,biological_process,Hybrid,full,ic,>=6_bits,Smin,522,ok,5,129.43226777811446,1.498251165969167,129.3974881765088,128.06141706011593,131.77543152609474
test,biological_process,Hybrid,full,ic,no_positive_terms,Smin,206,no positive terms,0,,,,,
test,biological_process,Hybrid,seq_only,homology,30-40%,Smin,80,ok,5,117.4729843663514,5.801289464427967,115.12749405032125,113.4058036925137,127.59106292997244
test,biological_process,Hybrid,seq_only,homology,40-60%,Smin,5,low support,5,9.105415506323265,0.4449367034025137,9.304397249221802,8.30948853472912,9.304397249221802
test,biological_process,Hybrid,seq_only,homology,<30%,Smin,26,ok,5,71.58322794148054,0.6375770718873398,71.57670137462087,70.64308797085523,72.3462398048634
test,biological_process,Hybrid,seq_only,homology,>=60%,Smin,31,ok,5,121.1410606662038,57.48337630740591,98.5171945510708,74.12802210984133,220.01651421140585
test,biological_process,Hybrid,seq_only,homology,no_hit,Smin,612,ok,5,88.84543758418226,1.238750975375479,88.4329382032488,87.91140486583431,91.0240484494278
test,biological_process,Hybrid,seq_only,ic,2-4_bits,Smin,10,ok,5,10.808560347557068,0.0,10.808560347557068,10.808560347557068,10.808560347557068
test,biological_process,Hybrid,seq_only,ic,4-6_bits,Smin,16,ok,5,25.14656022939045,3.902895340571464,24.934567423404,20.59821700196516,29.06587691605091
test,biological_process,Hybrid,seq_only,ic,>=6_bits,Smin,522,ok,5,129.1443671831674,2.369678949594842,129.048117924596,126.48559361572742,132.46061953054374
test,biological_process,Hybrid,seq_only,ic,no_positive_terms,Smin,206,no positive terms,0,,,,,
test,biological_process,Hybrid,struct_only,homology,30-40%,Smin,80,ok,5,3845.923785822181,1753.6223353753835,4620.216353765074,1322.4403642406694,5511.910914474708
test,biological_process,Hybrid,struct_only,homology,40-60%,Smin,5,low support,5,3884.4157558815887,1749.7635176372412,4640.584327869799,1356.3119149652412,5557.318176536625
test,biological_process,Hybrid,struct_only,homology,<30%,Smin,26,ok,5,3896.5052273333313,1748.5469228844265,4671.088349423275,1377.1003791415098,5566.032704125018
test,biological_process,Hybrid,struct_only,homology,>=60%,Smin,31,ok,5,3856.5458383980213,1728.773592731042,4646.474013939052,1352.7116532602136,5487.052449325392
test,biological_process,Hybrid,struct_only,homology,no_hit,Smin,612,ok,5,3854.480285686389,1755.516313868326,4639.27342385324,1325.7615081785036,5517.44251039402
test,biological_process,Hybrid,struct_only,ic,2-4_bits,Smin,10,ok,5,3791.002463720575,1861.0113097135875,4602.5896673482985,1040.0532918003123,5503.699214851088
