bin,Hybrid_JK,Hybrid,BLAST,DIAMOND,Naive
<20%,0.833052285393374,0.813193955949151,0.8197929893551237,0.8068642148726951,0.3327041020236142
20–40%,0.23696957190520593,0.23398434647213956,0.3591862101613441,0.35220244264216033,0.2501350753252957
40–60%,0.5599038764388646,0.5633037644579506,0.6262519170649818,0.5468733930201695,0.14249540706431946
>60%,0.9395209052326585,0.9369475687562829,0.9536490521659513,0.9555930074298719,0.13234998906165818
