Model,Ontology,N_seeds,Micro_Fmax_mean,Micro_Fmax_std,Micro_Fmax_se,Macro_Fmax_mean,Macro_Fmax_std,Macro_Fmax_se,Micro_AUROC_mean,Micro_AUROC_std,Micro_AUROC_se,Micro_AUPRC_mean,Micro_AUPRC_std,Micro_AUPRC_se,Smin_mean,Smin_std,Smin_se
BLAST,BP,5,0.040411352845151474,0.0010751548749638848,0.00048082387735190663,0.04219590431710214,0.0013052224004958804,0.0005837132026528487,0.5,0.0,0.0,0.510311336263294,0.0002800098610752695,0.000125224216746915,74.63917311902075,2.2186527722447984,0.9922116834415455
DIAMOND,BP,5,0.04062199997051673,0.0013665096665773336,0.000611121701275498,0.04225314256792654,0.001676959934973493,0.0007499592820288714,0.5,0.0,0.0,0.5103662929928573,0.00035597611693713205,0.0001591973591675683,74.90019471891408,2.594435826541344,1.1602669742814595
Naive,BP,5,0.039523487154672333,0.0011479800694503875,0.0005133922944211992,0.04142730732686147,0.001511160090305331,0.0006758113373614881,0.5,0.0,0.0,0.5100802464106386,0.0002985700566434887,0.00013352458854016066,72.36375676539765,2.585188760747517,1.1561315607399776
Hybrid,BP,5,0.6702321064772827,0.004697120429153366,0.0021006161156179822,0.6619322430467289,0.00686339432965448,0.0030694032554988036,0.8400944221621426,0.009537513155321928,0.004265305550319668,0.6305425211660614,0.005278632661223733,0.0023606762917493767,35.71252768666367,0.4960201052037213,0.2218269346884236
Hybrid_JK,BP,5,0.6708721629240889,0.006520508247174551,0.0029160599377060594,0.6630131578300673,0.010029507725948033,0.004485332211215826,0.8793597849221044,0.008642450529036415,0.0038650213750208886,0.637803715727264,0.00895240879883523,0.004003638927312563,35.54851308394437,0.6012389250462462,0.26888222142446144
BLAST,MF,5,0.046742366076449125,0.0011371453350007671,0.0005085468538716972,0.04865752942588293,0.0011451540038336743,0.00051212843945563,0.5,0.0,0.0,0.5119654067245917,0.00029810374284404157,0.00013331604666927868,36.0671604381569,0.940427401868808,0.4205719196964335
DIAMOND,MF,5,0.04779039390792272,0.0007144528642851755,0.0003195130342522168,0.049738374442413594,0.0007082118497620847,0.00031672196770777796,0.5,0.0,0.0,0.5122401461356386,0.00018742960718187208,8.382106853094975e-05,36.89090493244052,0.6585779780590537,0.2945250254848818
Naive,MF,5,0.04784164727157699,0.000512143405795096,0.0002290374939172189,0.04906196247898735,0.000531597193423657,0.0002377374922286802,0.5,0.0,0.0,0.5122535615048737,0.000134345634729347,6.008119434703529e-05,36.7682580205225,0.3807420749668295,0.17027303230403035
Hybrid,MF,5,0.8232630913947976,0.005607762062823053,0.0025078674348233583,0.8549756079834854,0.004831396475465192,0.002160666189078613,0.9509358463480609,0.008769770320137099,0.003921960516577329,0.8423478265457955,0.0018379305344966184,0.0008219475226113922,8.73620600409813,0.26844799552181464,0.12005359328206733
Hybrid_JK,MF,5,0.8144505201156729,0.009624360160452207,0.004304144711742383,0.8405357044199515,0.005910110561608785,0.0026430817940593402,0.9436266138366097,0.009004298426536994,0.004026844674286223,0.8277279683958467,0.007902499021777216,0.0035341050009638887,9.40815681873109,0.42281666735296414,0.18908936204422877
BLAST,CC,5,0.04592465523838497,0.0009120996497062463,0.00040790336379938253,0.047589052544140684,0.0011975115375471564,0.0005355434403591467,0.5,0.0,0.0,0.5117511055323508,0.0002389793502075442,0.00010687481445655945,16.568805156598323,0.3003361841009143,0.13431442475050717
DIAMOND,CC,5,0.04632109523432086,0.0019476734836197604,0.0008710260614695214,0.04888405673596073,0.002962020064112778,0.0013246556428148915,0.5,0.0,0.0,0.5118553465925075,0.0005098017581266441,0.0002279902772440164,16.622296277509925,0.726457471965445,0.3248816580154765
Naive,CC,5,0.04547254786437244,0.001152602918033998,0.0005154596951577275,0.04742463084936555,0.0018610825458894584,0.0008323014168694401,0.5,0.0,0.0,0.5116327973395085,0.0003017611437391268,0.0001349516860737545,16.29317625604411,0.5227364428656047,0.2337748441127854
Hybrid,CC,5,0.6134554711970195,0.003848391184205438,0.0017210528583788548,0.6185622066367975,0.015452348467985296,0.006910500317285971,0.8827862512558324,0.013863855534508737,0.006200104681079643,0.6027038074599684,0.020299745270610587,0.009078322070203027,8.824718012841938,0.08932177068089633,0.03994591022262638
Hybrid_JK,CC,5,0.6037255059821115,0.011471017304174698,0.005129994892642201,0.6250642841600587,0.008991182720648184,0.004020979152298168,0.8750965574873948,0.01818117311434587,0.008130867798873785,0.5765725691318165,0.02146221852747967,0.009598195915079995,9.019062950970294,0.23864000839679309,0.10672305618526999
