ontology,model,input,metric,seeds,mean,sd,median,q1,q3,minimum,maximum
biological_process,GAT,full,Micro_Fmax,5,0.053911480970100234,0.008836758597913687,0.05295206208563281,0.04981806234787588,0.05654238688328894,0.04318883651653973,0.06705605701716379
biological_process,GAT,seq_only,Micro_Fmax,5,0.06636944719540612,0.01750224790341362,0.06768786588307292,0.052610166562413366,0.07507178424106754,0.04642656003719024,0.09005085925328654
biological_process,GAT,struct_only,Micro_Fmax,5,0.07891624647103469,0.019831522778150014,0.0781156760261872,0.06711105419848871,0.08173580582993416,0.05756702639603393,0.11005166990452947
biological_process,GCN,full,Micro_Fmax,5,0.10812493436224886,0.008643837866342414,0.10530678745322387,0.10243267952354643,0.11617224582954698,0.09851641936714779,0.11819653963777926
biological_process,GCN,seq_only,Micro_Fmax,5,0.10783904792163808,0.012814959192164528,0.11218388119113622,0.1021217390987753,0.11587543386281621,0.0884052268382191,0.12060895861724359
biological_process,GCN,struct_only,Micro_Fmax,5,0.08270915855020075,0.028763529440808473,0.08173970055299484,0.0724354159535765,0.10658846945861712,0.04066425259118589,0.11211795419462944
biological_process,Hybrid,full,Micro_Fmax,5,0.2034289215124559,0.026732774799557366,0.2005738880481419,0.19355576734784788,0.22801542128292668,0.1652652431844154,0.2297342876989476
biological_process,Hybrid,seq_only,Micro_Fmax,5,0.22177266260136727,0.013563592300968694,0.22719351051802736,0.2087075220421208,0.2300214534229053,0.206180295863268,0.23676053116051501
biological_process,Hybrid,struct_only,Micro_Fmax,5,0.02573111450878564,0.006372221358522588,0.022952666752853536,0.021640164291310698,0.03153319282289237,0.01906298719345743,0.03346656148341417
biological_process,Hybrid_JK,full,Micro_Fmax,5,0.21405846470121373,0.022670276995972582,0.21618454773476592,0.1913759872523204,0.23228430737882252,0.1907099307172509,0.2397375504229089
biological_process,Hybrid_JK,seq_only,Micro_Fmax,5,0.210189809140563,0.018228477874105628,0.20263643884750132,0.19978208415941795,0.2212653903136789,0.19107861055335673,0.23618652182886
biological_process,Hybrid_JK,struct_only,Micro_Fmax,5,0.022750476705343074,0.0055716878493349675,0.021277302969089907,0.02006787111855492,0.023313264647500446,0.017197255238952974,0.03189668955261713
biological_process,MLP,full,Micro_Fmax,5,0.13544464308419207,0.0043931187792326494,0.13391966952500997,0.13299211733242994,0.13695799050045393,0.1310406166179771,0.1423128214450893
biological_process,MLP,seq_only,Micro_Fmax,5,0.1474574949919692,0.023271198998407763,0.1418457282802802,0.1366719704899961,0.16885414381484312,0.1171364037700981,0.1727792286046284
biological_process,MLP,struct_only,Micro_Fmax,5,0.07854112799314938,0.013867798228418961,0.0786742456058028,0.06909761119519096,0.07981399598630387,0.0645856838118235,0.10053410336662577
cellular_component,GAT,full,Micro_Fmax,5,0.13518767046786084,0.009358714330949796,0.1362888561421642,0.13524143481975534,0.13711352800866985,0.12059598283336172,0.14669855053535305
cellular_component,GAT,seq_only,Micro_Fmax,5,0.17203023731554526,0.07456104652389389,0.13633853717375094,0.1327726043462154,0.16365523520211211,0.12458368944813729,0.30280112040751056
cellular_component,GAT,struct_only,Micro_Fmax,5,0.2243171279898722,0.09804079699116908,0.2214270789469664,0.13607623813405986,0.2836500312769804,0.12483149879751154,0.3556007927938427
cellular_component,GCN,full,Micro_Fmax,5,0.1876111650237788,0.015601038576183895,0.18341932919984608,0.17900558114919138,0.19006117846217116,0.17250673851597206,0.2130629977917134
cellular_component,GCN,seq_only,Micro_Fmax,5,0.23718969676719684,0.04863355591272657,0.2614625275621851,0.1932253460858526,0.2736137598089759,0.1765158959583348,0.2811309544206357
cellular_component,GCN,struct_only,Micro_Fmax,5,0.19904390264573357,0.07274675344305345,0.17931749457633084,0.162829045368813,0.22726448942892885,0.11728234601762291,0.3085261378369723
cellular_component,Hybrid,full,Micro_Fmax,5,0.3470287156846756,0.034036844099663364,0.35841132704386836,0.33118693905820223,0.3664839467038495,0.2961569909610508,0.382904374656407
cellular_component,Hybrid,seq_only,Micro_Fmax,5,0.3601677887522891,0.03303644735910681,0.37546489667166316,0.3352278937095243,0.3780293135490131,0.3163292137288163,0.3957876261024287
cellular_component,Hybrid,struct_only,Micro_Fmax,5,0.08300689380456464,0.011823818573654448,0.08673969727372666,0.07598333083898633,0.09310908417977576,0.0659869498065113,0.09321540692382313
cellular_component,Hybrid_JK,full,Micro_Fmax,5,0.3417003628517348,0.06606728209559568,0.36512474007488555,0.3506104859447754,0.3654663867315787,0.22793839497913174,0.39936180652830244
cellular_component,Hybrid_JK,seq_only,Micro_Fmax,5,0.3656721798499075,0.061013470582019294,0.37566171306951907,0.3580921695607165,0.3837531776714818,0.2711758843545893,0.4396779545932307
cellular_component,Hybrid_JK,struct_only,Micro_Fmax,5,0.08883618848876781,0.029690390232709966,0.07686210231127867,0.07264089787802679,0.08103093738678331,0.07209309759715202,0.14155390727059833
cellular_component,MLP,full,Micro_Fmax,5,0.17197919429180913,0.0026960624209772465,0.17282450166984994,0.16925527673401042,0.17315689976173096,0.16922254872373305,0.1754367445697214
cellular_component,MLP,seq_only,Micro_Fmax,5,0.17205494925282566,0.002765656168653751,0.17256107975638735,0.16925527673401042,0.17379909648027614,0.16922254872373305,0.1754367445697214
