ontology,model,input,metric,seeds,mean,sd,median,q1,q3,minimum,maximum
biological_process,GAT,full,Macro_AUPRC,5,0.10008590615559827,0.007391193928015022,0.0975225583995419,0.09704752762784848,0.10428051043177788,0.09119436961629568,0.11038456470252742
biological_process,GAT,full,Macro_AUROC,5,0.6594621446564998,0.012087383493306661,0.6559482901111983,0.6537061624556949,0.6677713738743559,0.6446219363471171,0.6752629604941325
biological_process,GAT,full,Macro_Fmax,5,0.19307467892326993,0.01022010584995223,0.19070793214240322,0.1880730616692438,0.19281612508877513,0.18350843680229975,0.21026783891362774
biological_process,GAT,full,Micro_AUPRC,5,0.021213954999206683,0.003947965381256283,0.02091191780074255,0.01911905868147731,0.02182931703883264,0.016817953591584736,0.02739152788339618
biological_process,GAT,full,Micro_AUROC,5,0.683196055349722,0.014975371837932275,0.6851710585393842,0.6843772217284821,0.6881536946652157,0.6587154377262812,0.6995628640892474
biological_process,GAT,full,Micro_Fmax,5,0.053911480970100234,0.008836758597913687,0.05295206208563281,0.04981806234787588,0.05654238688328894,0.04318883651653973,0.06705605701716379
biological_process,GAT,full,Smin,5,101.0104761046053,0.061566409040868346,101.02152488746688,100.94720932452249,101.06891734884105,100.94571147470558,101.06901748749051
biological_process,GAT,seq_only,Macro_AUPRC,5,0.09745098691306942,0.011663999885284783,0.10354110719525966,0.08662722917133345,0.10488328904981066,0.08323557968698984,0.10896772946195343
biological_process,GAT,seq_only,Macro_AUROC,5,0.6563675077539532,0.022973868279131376,0.653072682471637,0.6497086577850164,0.6748837560339945,0.6231337769604234,0.6810386655186947
biological_process,GAT,seq_only,Macro_Fmax,5,0.18938372734098569,0.01808422003030282,0.1936660281214763,0.18263970776051652,0.1962572905415104,0.16281227518790475,0.21154333509352058
biological_process,GAT,seq_only,Micro_AUPRC,5,0.026484992510692695,0.0075480245049636425,0.025703523100003765,0.020126979533998626,0.029158837674853368,0.019505448059770617,0.037930174184837115
biological_process,GAT,seq_only,Micro_AUROC,5,0.7120448637288788,0.021854146757606635,0.7158693350010052,0.6990019412669847,0.7220710304937726,0.6831381964926743,0.740143815389957
biological_process,GAT,seq_only,Micro_Fmax,5,0.06636944719540612,0.01750224790341362,0.06768786588307292,0.052610166562413366,0.07507178424106754,0.04642656003719024,0.09005085925328654
biological_process,GAT,seq_only,Smin,5,100.78979374849993,0.62627029469551,101.05643799704605,100.9537066868118,101.11840760135301,99.67715505070015,101.14326140658865
biological_process,GAT,struct_only,Macro_AUPRC,5,0.03770589250839228,0.0017132414748155897,0.03794737859089188,0.0374204946596861,0.0388331903998387,0.03495701179405519,0.03937138709748951
biological_process,GAT,struct_only,Macro_AUROC,5,0.4978199443249112,0.0055729868347430675,0.4998315323748276,0.49281337565719663,0.5008188611989662,0.4912556975312117,0.504380254862354
biological_process,GAT,struct_only,Macro_Fmax,5,0.07306819823812713,0.0013824425316598561,0.07249106490696787,0.07245798593462911,0.07346929142960307,0.07166282852204649,0.07525982039738911
biological_process,GAT,struct_only,Micro_AUPRC,5,0.02984961846642139,0.007534242749275221,0.027709517393040416,0.026351244687440583,0.028773621181909168,0.023549195260386867,0.042864513809329916
biological_process,GAT,struct_only,Micro_AUROC,5,0.7272549849355233,0.014133270248988973,0.7321097533278306,0.7215891911270774,0.7366424919717832,0.7053823190672601,0.7405511691836654
biological_process,GAT,struct_only,Micro_Fmax,5,0.07891624647103469,0.019831522778150014,0.0781156760261872,0.06711105419848871,0.08173580582993416,0.05756702639603393,0.11005166990452947
biological_process,GAT,struct_only,Smin,5,101.0556904085435,0.0,101.0556904085435,101.0556904085435,101.0556904085435,101.0556904085435,101.0556904085435
biological_process,GCN,full,Macro_AUPRC,5,0.16173279445514266,0.007351347560284186,0.15989132232952277,0.15799305812396697,0.16556830174008147,0.15305164734459065,0.1721596427375514
