trial,ontology,learning_rate,weight_decay,dropout,hidden_dim,batch_size,gradient_clip,patience,loss,focal_gamma,validation_micro_fmax,validation_macro_fmax,validation_micro_aupr,validation_macro_aupr,validation_micro_auroc,validation_macro_auroc,validation_smin
trial_000,biological_process,0.0024041997179610245,2.722568603233787e-06,0.0,256,16,1.0,8,BCE,,0.1720441519842242,0.2820330611298015,0.08671856680833513,0.1998049146041708,0.8756735378515788,0.736282204091428,48.71185176376401
trial_000,cellular_component,0.0024041997179610245,2.722568603233787e-06,0.0,256,16,1.0,8,BCE,,0.35307220079274815,0.36505259315061694,0.23411970667668575,0.2845154779674517,0.8224925831071158,0.6477612112042689,35.10932207984435
trial_000,molecular_function,0.0024041997179610245,2.722568603233787e-06,0.0,256,16,1.0,8,BCE,,0.19919087899918755,0.3273017289844762,0.10856920059744171,0.24987614854569615,0.8411276322081342,0.7153592533967736,31.31905143151574
trial_001,biological_process,0.0010296572653618581,5.735912773350473e-07,0.0,512,32,5.0,10,BCE,,0.233588401127223,0.24908371594262546,0.17896652228637186,0.16510751426992995,0.8652765551296466,0.7193991938107309,44.52508509805237
trial_001,cellular_component,0.0010296572653618581,5.735912773350473e-07,0.0,512,32,5.0,10,BCE,,0.4364723467857587,0.38636469219860897,0.3605927213890203,0.27292469419402454,0.8214288511413695,0.6968913671636744,30.50977954515205
trial_001,molecular_function,0.0010296572653618581,5.735912773350473e-07,0.0,512,32,5.0,10,BCE,,0.2912100722774219,0.33531068073809195,0.1794915457358632,0.26240358835695743,0.8430894648894125,0.7302106607030635,27.820550466235215
trial_002,biological_process,1.1378904677969076e-05,7.378908099113235e-05,0.0,128,32,0.5,9,BCE,,0.1156693399131712,0.16948762254691974,0.04671122217204629,0.10711439623500912,0.68153457547186,0.6312900077349511,48.26559944205758
trial_002,cellular_component,1.1378904677969076e-05,7.378908099113235e-05,0.0,128,32,0.5,9,BCE,,0.24051791343205747,0.26631226664090935,0.15005985787861278,0.1919360503756111,0.7016435219881024,0.5840655994792827,32.99846252374493
trial_002,molecular_function,1.1378904677969076e-05,7.378908099113235e-05,0.0,128,32,0.5,9,BCE,,0.12858181818136927,0.21207625251069254,0.08880220767095601,0.14584266363944173,0.767344612611403,0.6990378546953943,28.16484859534317
trial_003,biological_process,0.002823147511627795,0.00029423606866430316,0.4,512,64,0.5,10,BCE,,0.10586512947157659,0.23544209703925337,0.05950367164548698,0.15149487670344958,0.8604293689545994,0.7111409248378485,49.518895513185754
trial_003,cellular_component,0.002823147511627795,0.00029423606866430316,0.4,512,64,0.5,10,BCE,,0.34999003255983185,0.29764855669735674,0.2012092147397864,0.19762679791175683,0.7960105004135188,0.6224511544645539,35.570261782947185
trial_003,molecular_function,0.002823147511627795,0.00029423606866430316,0.4,512,64,0.5,10,BCE,,0.21615989390876444,0.34415655012079627,0.15362047316649324,0.2677558562015775,0.8158893006430491,0.7670411294842542,28.143673943742634
trial_004,biological_process,7.674123976937732e-05,0.005313431835380474,0.0,256,32,1.0,9,Focal,2.0,0.2898505360352265,0.25727606212908316,0.20978204269631257,0.18991920790413375,0.7898613756083657,0.6644023280693133,41.184734956522526
trial_004,cellular_component,7.674123976937732e-05,0.005313431835380474,0.0,256,32,1.0,9,Focal,2.0,0.4495319079345824,0.3434116182542849,0.3837061311076458,0.2521008889262684,0.787438879485877,0.6753365694595417,28.633115260205688
trial_004,molecular_function,7.674123976937732e-05,0.005313431835380474,0.0,256,32,1.0,9,Focal,2.0,0.4181669394430634,0.30999462455816656,0.31724954000434896,0.24852195732864782,0.7995395292267967,0.6794406375483927,23.69603725483898
trial_005,biological_process,0.0001529140641918095,0.0014692529747935225,0.4,128,16,0.5,9,BCE,,0.22092549871032297,0.24198559869993966,0.1585434127082514,0.16341680586320548,0.8505853562476404,0.6847590502403755,43.46124656456328
trial_005,cellular_component,0.0001529140641918095,0.0014692529747935225,0.4,128,16,0.5,9,BCE,,0.45568054428030613,0.3269778290702135,0.3989255422618897,0.23908585458950884,0.8170451218652413,0.6589215114941309,29.390912539105273
trial_005,molecular_function,0.0001529140641918095,0.0014692529747935225,0.4,128,16,0.5,9,BCE,,0.348461984909542,0.3159315049790714,0.28330611110124915,0.2545308572179898,0.8604565050003553,0.6900610001799963,25.136868254160554
trial_006,biological_process,2.5508785977760178e-05,0.003288256072873935,0.0,128,64,5.0,8,BCE,,0.12382350401478848,0.170273065254826,0.05034692945074423,0.1071663874680391,0.6777128676795013,0.6249201621495493,47.77430972848102
trial_006,cellular_component,2.5508785977760178e-05,0.003288256072873935,0.0,128,64,5.0,8,BCE,,0.23191196698714314,0.25321330975527795,0.14908968329982697,0.18143323945879275,0.7064557705599588,0.5817670473905231,33.33200833435397
trial_006,molecular_function,2.5508785977760178e-05,0.003288256072873935,0.0,128,64,5.0,8,BCE,,0.1624272142195456,0.2449209903039128,0.09075811016060306,0.17491336817173717,0.8000198710175681,0.7095698827736372,28.23097974225011
trial_007,biological_process,5.5116825889001555e-05,0.0006581590522567125,0.2,128,32,0.5,9,Focal,1.0,0.29625817834253565,0.26301902656620907,0.21631184065384787,0.19673218311225324,0.8368463670482943,0.7049957790222333,41.63341126653209
trial_007,cellular_component,5.5116825889001555e-05,0.0006581590522567125,0.2,128,32,0.5,9,Focal,1.0,0.2626516102044557,0.2739091484051873,0.16594817354290858,0.19278454480364493,0.731344016997884,0.6087011146804694,33.09409803526456
trial_007,molecular_function,5.5116825889001555e-05,0.0006581590522567125,0.2,128,32,0.5,9,Focal,1.0,0.2866225165558117,0.2953084311064702,0.21517734319296966,0.22185511051422857,0.8325781419172376,0.7161344594560108,26.344299279351027
trial_008,biological_process,0.00021912071790854395,0.004353115992599645,0.2,128,32,0.5,8,Focal,2.0,0.2597893599779026,0.2568296066707916,0.17863708924091184,0.18434905166375934,0.8351026826330694,0.6998512672411223,42.38712288147116
trial_008,cellular_component,0.00021912071790854395,0.004353115992599645,0.2,128,32,0.5,8,Focal,2.0,0.30808439254098857,0.30165728653147716,0.21069992115245872,0.2223744936171025,0.7860132974922788,0.6654241753514865,32.96371366797862
trial_008,molecular_function,0.00021912071790854395,0.004353115992599645,0.2,128,32,0.5,8,Focal,2.0,0.26757369614462817,0.31087486815720544,0.20776407568355817,0.2360401203193431,0.831058502124653,0.7174332815730164,27.0975931044004
trial_009,biological_process,0.0017270869909095407,4.137739106923979e-05,0.1,128,32,0.5,9,Focal,1.0,0.10702704880035095,0.2568667722131186,0.056880247100412076,0.1668620950346352,0.8364021393984784,0.7095769548564301,49.4162456145969
